ID	文本
SceneData_Name_1001	공용 Empty Scene
SceneData_Name_1002	몬드성
SceneData_Name_1003	세계
SceneData_Name_1004	기사단 홀
SceneData_Name_1005	성당 지하실(잠입 플레이)
SceneData_Name_1006	바람 드래곤의 눈물 던전
SceneData_Name_1007	반딧불 숲 던전 플레이 테스트
SceneData_Name_1008	성당 홀
SceneData_Name_1009	술집 실내
SceneData_Name_1010	츄츄성산
SceneData_Name_1011	캐릭터 전투 테스트 스테이지
SceneData_Name_1012	몬스터 테스트 스테이지
SceneData_Name_1013	고급 잠입 테스트
SceneData_Name_1015	비행 특수 플레이
SceneData_Name_1	세계1
SceneData_Name_2	세계2
SceneData_Name_3	뉴 몬드성 및 주변
SceneData_Name_20000	스테이지 플레이 테스트
SceneData_Name_20001	바람의 드래곤 던전 
SceneData_Name_20002	전술 테스트-숲
SceneData_Name_20003	전술 테스트-호수
SceneData_Name_20004	전술 테스트-평원
SceneData_Name_20005	전술 테스트-하류
SceneData_Name_20006	바바라 퀘스트 던전
SceneData_Name_20007	바바라 던전
SceneData_Name_20008	케이아 튜토리얼 던전
SceneData_Name_20009	엠버 튜토리얼 던전
SceneData_Name_20010	리사 전투 훈련 퀘스트 던전
SceneData_Name_20011	리사 튜토리얼 던전
SceneData_Name_20012	다이루크 퀘스트 던전
SceneData_Name_20013	케이아 전투 훈련 퀘스트 던전
SceneData_Name_20014	진과 엠버의 전투 훈련 퀘스트 지역
SceneData_Name_20015	리사 소재 던전
SceneData_Name_20016	케이아 메인 스토리 던전
SceneData_Name_20017	풍마룡 추격
SceneData_Name_20018	풍마룡 정화
SceneData_Name_20019	다이루크 던전 화이트 박스
SceneData_Name_20020	풍마룡과의 첫 전투
SceneData_Name_20021	리사 개인 던전 화이트 박스
SceneData_Name_30001	안개 미궁
SceneData_Name_30002	영웅의 시련-윈드 오브 전투
SceneData_Name_30003	영웅의 시련-빙결 시험
SceneData_Name_40001	엠버 소재지1(Lv.10)
SceneData_Name_40002	엠버 소재지2(Lv.13)
SceneData_Name_40003	엠버 소재지3(Lv.16)
SceneData_Name_40004	케이아 소재지1(Lv.12)
SceneData_Name_40005	케이아 소재지2(Lv.15)
SceneData_Name_40006	케이아 소재지3(Lv.18)
SceneData_Name_40007	섬 소재 던전
SceneData_Name_50000	도서관 테스트
SceneData_Name_50001	멀티 난입 던전 테스트
SceneData_Name_50002	온도 화이트 박스 테스트
SceneData_Name_50003	전투 성능 테스트
SceneData_Name_50004	전기 파일 전원 화이트 박스
SceneData_Name_50005	원소 플레이 영상
RoomData_Name_2	도서관 방2
RoomData_Name_3	도서관 방3
RoomData_Name_4	기사단 도서관
RoomData_Name_100401	도서관
RoomData_Name_100402	진의 사무실
WorldAreaData_AreaName_1	별이 떨어지는 평원
WorldAreaData_AreaName_2	시드르 호수
WorldAreaData_AreaName_3	몬드성
WorldAreaData_AreaName_4	별이 떨어지는 호수
WorldAreaData_AreaName_5	바람맞이 산
WorldAreaData_AreaName_6	바람맞이 봉우리
WorldAreaData_AreaName_7	별을 따는 절벽
WorldAreaData_AreaName_8	바람의 신전
WorldAreaData_AreaName_9	속삭임의 숲
WorldAreaData_AreaName_10	바람맞이 해안
WorldAreaData_AreaName_11	울부짖는 언덕
WorldAreaData_AreaName_12	바람이 시작되는 곳
WorldAreaData_AreaName_13	플라이호크 해변
WorldAreaData_AreaName_14	타타우파 협곡
WorldAreaData_AreaName_15	맹세의 갑각
WorldAreaData_AreaName_16	마커스 산호초
WorldAreaData_AreaName_17	창풍의 고지대
WorldAreaData_AreaName_18	샘물 마을
WorldAreaData_AreaName_19	다운 와이너리
WorldAreaData_AreaName_20	드래곤 스핀
WorldAreaData_AreaName_21	크라운 마운틴
WorldAreaData_AreaName_22	바람 드래곤의 유적
WorldAreaData_AreaName_23	울프 영지
WorldAreaData_AreaName_24	크라운 협곡
DungeonData_Name_1	늑대의 사당으로
DungeonData_Desc_1	풍마룡을 저지하기 위해 기사단은 행동에 나선다. 기사단 단장 케이아와 함께 북방의 늑대 사당에 가서 풍마룡을 저지하고 그 힘을 얻어라.
DungeonData_Name_2	츄츄족 본진
DungeonData_Desc_2	케이아 퀘스트 던전03
DungeonData_Name_3	츄츄족 소굴
DungeonData_Desc_3	케이아 퀘스트 던전03
DungeonData_Name_4	바위동굴 거점
DungeonData_Desc_4	던전 설명4
DungeonData_Name_5	바위동굴 거점
DungeonData_Desc_5	던전 설명5
DungeonData_Name_6	바위동굴 비경
DungeonData_Desc_6	던전 설명6
DungeonData_Name_7	유적 조난지
DungeonData_Desc_7	바바라 스토리 던전01
DungeonData_Name_8	츄츄족 거점
DungeonData_Desc_8	바바라 스토리 던전01
DungeonData_Name_9	츄츄족 요새
DungeonData_Desc_9	바바라 스토리 던전01
DungeonData_Name_10	밀림과 폐허, 그리고 드래곤의 눈물
DungeonData_Desc_10	일행은 드래곤의 눈물을 얻고자 밀림 속의 폐허에 왔다. 진, 그리고 다이루크와 함께 폐허에 들어가 강대한 힘을 품고 있는 드래곤의 눈물을 얻어라.
DungeonData_Name_11	반딧불 숲 던전 플레이 테스트
DungeonData_Desc_11	숲 스타일 던전 플레이 테스트
DungeonData_Name_12	츄츄성산 테스트
DungeonData_Desc_12	츄츄성산 테스트
DungeonData_Name_13	캐릭터 전투 테스트
DungeonData_Desc_13	캐릭터 전투 테스트
DungeonData_Name_14	몬스터 테스트
DungeonData_Desc_14	몬스터 테스트
DungeonData_Name_1000	스테이지 플레이 테스트
DungeonData_Desc_1000	스테이지 플레이 테스트
DungeonData_Name_15	저온 스테이지 화이트 박스
DungeonData_Desc_15	저온 스테이지 화이트 박스
DungeonData_Name_16	모바일 플랫폼 성능 테스트
DungeonData_Desc_16	모바일 플랫폼 성능 테스트
DungeonData_Name_17	전투 성능 테스트
DungeonData_Desc_17	전투 성능 테스트
DungeonData_Name_18	#$# 전기 파일 전원 화이트 박스
DungeonData_Desc_18	전기 파일 전원 화이트 박스
DungeonData_Name_19	#$# 원소 반응 영상 화이트 박스
DungeonData_Desc_19	원소 반응 영상 화이트 박스
DungeonData_Name_1001	매의 사당으로
DungeonData_Desc_1001	풍마룡을 저지하기 위해 기사단은 행동에 나선다. 정찰 기사 엠버와 함께 서방의 매 사당에 가서 풍마룡을 저지하고 그 힘을 얻어라.
DungeonData_Name_1002	리사 전투 던전
DungeonData_Desc_1002	리사 전투 던전
DungeonData_Name_1003	사자의 사당으로
DungeonData_Desc_1003	풍마룡을 저지하기 위해 기사단은 행동에 나선다. 도서관 사서 리사와 함께 남방의 사자 사당에 가서 풍마룡을 저지하고 그 힘을 얻어라.
DungeonData_Name_1004	우인단 야영지
DungeonData_Desc_1004	다이루크의 모험
DungeonData_Name_1005	카이야 전투 훈련 퀘스트 도시
DungeonData_Desc_1005	케이아를 사용해 도전하세요
DungeonData_Name_1006	진, 엠버 전투 훈련 퀘스트 던전
DungeonData_Desc_1006	진과 엠버를 사용해 도전하세요
DungeonData_Name_1007	리사 소재 던전
DungeonData_Desc_1007	리사 전투 던전
DungeonData_Name_2000	아카디아의 잃어버린 보물
DungeonData_Desc_2000	잃어버린 보물은 지혜를 지닌 자에게만 그 빛을 다한다. 아카디아의 수수께끼를 푼 일행이 보물이 있는 곳에 도착하게 되는데...
DungeonData_Name_2001	폭풍같이 포효하는 드래곤
DungeonData_Desc_2001	이제 남은 건 심연 메이지의 유혹에 넘어간 드발린과의 정면 대결뿐이다
DungeonData_Name_2002	풍마룡-정화
DungeonData_Desc_2002	풍마룡 BOSS 전투-2단계
DungeonData_Name_2003	다이루크 던전 화이트 박스
