角色卡ID	角色ID	排除角色ID	元素类型	大天赋点获得	小天赋点获得
901	10000005,10000007		1	0	1
902	10000005,10000007		2	0	1
903	10000005,10000007		3	0	1
904	10000005,10000007		4	0	1
905	10000005,10000007		7	0	1
906	10000005,10000007		5	0	1
907	10000005,10000007		8	0	1
911	10000005,10000007		1	1	0
912	10000005,10000007		2	1	0
913	10000005,10000007		3	1	0
914	10000005,10000007		4	1	0
915	10000005,10000007		7	1	0
916	10000005,10000007		5	1	0
917	10000005,10000007		8	1	0
921		10000005,10000007	1	0	1
922		10000005,10000007	2	0	1
923		10000005,10000007	3	0	1
924		10000005,10000007	4	0	1
925		10000005,10000007	7	0	1
926		10000005,10000007	5	0	1
927		10000005,10000007	8	0	1
928		10000005,10000007		0	1
931		10000005,10000007	1	1	0
932		10000005,10000007	2	1	0
933		10000005,10000007	3	1	0
934		10000005,10000007	4	1	0
935		10000005,10000007	7	1	0
936		10000005,10000007	5	1	0
937		10000005,10000007	8	1	0
938		10000005,10000007		1	0
1002	10000002			4	0
1003	10000003			4	0
1006	10000006			4	0
1014	10000014			4	0
1015	10000015			4	0
1016	10000016			4	0
1020	10000020			4	0
1021	10000021			4	0
1022	10000022			4	0
1023	10000023			4	0
1024	10000024			4	0
