等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
1	22	2	1	32	2	1	21	2	1	31	2	1
2	22	2	1.2	32	2	1.2	21	2	1.164	31	2	1.164
3	22	2	1.402	32	2	1.402	21	2	1.328	31	2	1.328
4	22	2	1.604	32	2	1.604	21	2	1.494	31	2	1.494
5	22	2	1.807	32	2	1.807	21	2	1.66	31	2	1.66
6	22	2	2.012	32	2	2.012	21	2	1.827	31	2	1.827
7	22	2	2.218	32	2	2.218	21	2	1.995	31	2	1.995
8	22	2	2.425	32	2	2.425	21	2	2.164	31	2	2.164
9	22	2	2.633	32	2	2.633	21	2	2.333	31	2	2.333
10	22	2	2.843	32	2	2.843	21	2	2.504	31	2	2.504
11	22	2	3.054	32	2	3.054	21	2	2.675	31	2	2.675
12	22	2	3.266	32	2	3.266	21	2	2.848	31	2	2.848
13	22	2	3.48	32	2	3.48	21	2	3.021	31	2	3.021
14	22	2	3.695	32	2	3.695	21	2	3.195	31	2	3.195
15	22	2	3.911	32	2	3.911	21	2	3.371	31	2	3.371
16	22	2	4.129	32	2	4.129	21	2	3.547	31	2	3.547
17	22	2	4.349	32	2	4.349	21	2	3.725	31	2	3.725
18	22	2	4.57	32	2	4.57	21	2	3.903	31	2	3.903
19	22	2	4.792	32	2	4.792	21	2	4.083	31	2	4.083
20	22	2	5.017	32	2	5.017	21	2	4.264	31	2	4.264
21	22	2	5.243	32	2	5.243	21	2	4.446	31	2	4.446
22	22	2	5.47	32	2	5.47	21	2	4.629	31	2	4.629
23	22	2	5.7	32	2	5.7	21	2	4.813	31	2	4.813
24	22	2	5.931	32	2	5.931	21	2	4.998	31	2	4.998
25	22	2	6.163	32	2	6.163	21	2	5.185	31	2	5.185
26	22	2	6.398	32	2	6.398	21	2	5.373	31	2	5.373
27	22	2	6.635	32	2	6.635	21	2	5.562	31	2	5.562
28	22	2	6.873	32	2	6.873	21	2	5.752	31	2	5.752
29	22	2	7.113	32	2	7.113	21	2	5.944	31	2	5.944
30	22	2	7.355	32	2	7.355	21	2	6.137	31	2	6.137
31	22	2	7.6	32	2	7.6	21	2	6.332	31	2	6.332
32	22	2	7.846	32	2	7.846	21	2	6.527	31	2	6.527
33	22	2	8.094	32	2	8.094	21	2	6.725	31	2	6.725
34	22	2	8.344	32	2	8.344	21	2	6.923	31	2	6.923
35	22	2	8.597	32	2	8.597	21	2	7.123	31	2	7.123
36	22	2	8.851	32	2	8.851	21	2	7.325	31	2	7.325
37	22	2	9.108	32	2	9.108	21	2	7.527	31	2	7.527
