ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	是否使用	角色品质	角色Cost	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	技能库ID	体力恢复速度	候选技能库ID
10000002		606.39	10.69	18.31	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	5	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	11101	1	201	25	
10000003		560.1401	12.024	19.386	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	5	1,1,1,1,1	1	0	0	ConfigAvatar_Qin	0	11101	1	301	25	
10000005		335.67	8.73	11.73	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	3	1,1,1,1,1	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	501	25	501,502,503,504,505,506
10000006		302.103	10.476	10.557	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Lisa	0	14101	10	601	25	
10000007		335.67	8.73	11.73	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	3	1,1,1,1,1	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	701	25	701,702,703,704,705,706
10000014		355.8102	6.5475	10.7916	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Barbara	0	14101	10	1401	25	
10000015		375.9504	7.4205	12.4338	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Kaeya	0	11101	1	1501	25	
10000016		565.279	14.028	17.95	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	5	1,1,1,1,1	1	0	0	ConfigAvatar_Diluc	0	12101	11	1601	25	
10000020		379.3071	7.5078	12.3165	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Razor	0	12101	11	2001	25	
10000021		278.6061	13.0077	9.9705	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ambor	1	15101	12	2101	25	
10000022		441.9454	17.6352	15.9755	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	5	1,1,1,1,1	1	0	0	ConfigAvatar_Venti	1	15101	12	2201	25	
10000023		369.237	8.2935	12.1992	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	1,1,1,1,1	1	0	0	ConfigAvatar_Xiangling	0	13101	13	2301	25	
10000024		379.3071	7.5078	12.3165	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Beidou	0	12101	11	2401	25	
10000025		375.9504	7.4205	12.4338	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Xingqiu	0	11101	1	3801	25	
10000001		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25	
11000008		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	3	3	1,1,1,1,1	1	0	0	ConfigAvatar_Qin	0	11101	1	801	25	
11000009		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	3	3	1,1,1,1,1	1	0	0	Config_NudeHeroine_Type_01	0	11101	1	901	25	
11000010		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	3	3	1,1,1,1,1	1	0	0	Config_NudeHeroine_Type_01	0	11101	1	1001	25	
11000011		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_Naked	0	11101	1	501	25	
11000013		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	1	3	1,1,1,1,1	1	0	0	Config_NudeHeroine_TestSync	0	11101	1	1301	25	
11000017		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Kaeya	0	11101	1	1501	25	
11000018		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Qin	0	11101	1	1501	25	
11000019		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	11101	1	1501	25	
11000025		208.6	8.2	9.5	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Aquaria	1	15101	12	2501	25	
11000026		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	14101	10	1501	25	
11000027		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	11101	1	1501	25	
11000028		185	6	10.4	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Prototype	0	13101	13	2801	25	
11000029		369.237	8.2935	12.1992	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Klee	0	14101	10	2901	25	
11000030		189.5	5.6	10.5	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	12101	11	101	25	
11000031		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_PutA	0	11101	1	101	25	
11000032		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_PutB	0	11101	1	101	25	
11000033		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_PutC	0	11101	1	101	25	
11000034		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_PutD	0	11101	1	101	25	
10000035		185	6	10.4	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Diluc	0	13101	13	101	25	
10000036		207.5	4.4	10.5	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	4	1,1,1,1,1	1	0	0	ConfigAvatar_Qin	0	11101	1	101	25	
11000037		191	5	11	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_RuoxinTest	0	11101	1	3701	25	
11000038		99999	99999	99999	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	1,1,1,1,1	1	0	0	ConfigAvatar_CommonBoy	0	11101	1	101	25	
