等级	升到下一级所需经验	获得小天赋点	升级获得玩家经验
1	200		0
2	400		0
3	700		0
4	1050		0
5	1500		0
6	1950		0
7	2500		0
8	3100		0
9	3700		0
10	4400		0
11	5100		0
12	5900		0
13	6700		0
14	10600		0
15	12100		0
16	13650		0
17	15250		0
18	17000		0
19	18800		0
20	20750		0
21	22750		0
22	24800		0
23	27000		0
24	29250		0
25	31650		0
26	34100		0
27	36650		0
28	39250		0
29	42000		0
30	44800		0
31	47750		0
32	50750		0
33	53850		0
34	57000		0
35	60300		0
36	63700		0
37	67150		0
38	70700		0
39	74400		0
40	78150		0
41	82000		0
42	85950		0
43	90000		0
44	94100		0
45	98350		0
46	102700		0
47	107100		0
48	111600		0
49	116250		0
50	120950		0
51	125750		0
52	130650		0
53	135700		0
54	140800		0
55	146000		0
56	151300		0
57	156700		0
58	162200		0
59	167800		0
60	173450		0
61	179250		0
62	185150		0
63	191150		0
64	197250		0
65	203450		0
66	209750		0
67	216100		0
68	222600		0
69	229200		0
70	235900		0
71	242700		0
72	249600		0
73	256600		0
74	263700		0
75	270900		0
76	278200		0
77	285600		0
78	293100		0
79	300750		0
80	308450		0
81	316250		0
82	324200		0
83	332200		0
84	340350		0
85	348550		0
86	356900		0
87	365350		0
88	373850		0
89	382500		0
90	391250		0
