突破等级	元素类型	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	突破获得玩家经验
0		0	0	0	0	0	0	20	1	0	7	0			0
1		104101	3	0	0	0	0	40	1	363	7	13			0
2		104102	4	0	0	0	0	60	1	745	7	26			0
3		104103	5	0	0	0	0	80	1	1341	7	47			0
4		104104	6	0	0	0	0	90	1	2240	7	78			0
0	1	0	0	0	0	0	0	20	1	0	7	0			0
1	1	104111	3	0	0	0	0	40	1	363	7	13			0
2	1	104112	4	0	0	0	0	60	1	745	7	26			0
3	1	104113	5	0	0	0	0	80	1	1341	7	47			0
4	1	104114	6	0	0	0	0	90	1	2240	7	78			0
0	2	0	0	0	0	0	0	20	1	0	7	0			0
1	2	104121	3	0	0	0	0	40	1	363	7	13			0
2	2	104122	4	0	0	0	0	60	1	745	7	26			0
3	2	104123	5	0	0	0	0	80	1	1341	7	47			0
4	2	104124	6	0	0	0	0	90	1	2240	7	78			0
0	3	0	0	0	0	0	0	20	1	0	7	0			0
1	3	104131	3	0	0	0	0	40	1	363	7	13			0
2	3	104132	4	0	0	0	0	60	1	745	7	26			0
3	3	104133	5	0	0	0	0	80	1	1341	7	47			0
4	3	104134	6	0	0	0	0	90	1	2240	7	78			0
0	4	0	0	0	0	0	0	20	1	0	7	0			0
1	4	104141	3	0	0	0	0	40	1	363	7	13			0
2	4	104142	4	0	0	0	0	60	1	745	7	26			0
3	4	104143	5	0	0	0	0	80	1	1341	7	47			0
4	4	104144	6	0	0	0	0	90	1	2240	7	78			0
0	7	0	0	0	0	0	0	20	1	0	7	0			0
1	7	104151	3	0	0	0	0	40	1	363	7	13			0
2	7	104152	4	0	0	0	0	60	1	745	7	26			0
3	7	104153	5	0	0	0	0	80	1	1341	7	47			0
4	7	104154	6	0	0	0	0	90	1	2240	7	78			0
0	5	0	0	0	0	0	0	20	1	0	7	0			0
1	5	104161	3	0	0	0	0	40	1	363	7	13			0
2	5	104162	4	0	0	0	0	60	1	745	7	26			0
3	5	104163	5	0	0	0	0	80	1	1341	7	47			0
4	5	104164	6	0	0	0	0	90	1	2240	7	78			0
0	8	0	0	0	0	0	0	20	1	0	7	0			0
1	8	104171	3	0	0	0	0	40	1	363	7	13			0
2	8	104172	4	0	0	0	0	60	1	745	7	26			0
3	8	104173	5	0	0	0	0	80	1	1341	7	47			0
4	8	104174	6	0	0	0	0	90	1	2240	7	78			0
