ID	Ability名称	是远程	技能CD	消耗体力	消耗能量类型	消耗能量值	可累积次数	TriggerID	索敌范围	索敌公式权重1	索敌公式权重2	索敌公式权重3	是默认镜头	支持按钮拖动	是否显示箭头	是否监控状态	默认锁定	图标名称
10001			0	20			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10002			0	25			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10003			0	50			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10006			0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10011			0	0			1	1	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10101			10	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10102			10	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10111			0	10			1	11	CircleLockEnemy	0.6	1	0.3	1					
10211			0	0			1	11	CircleLockEnemyR10	0.6	1	0.3	1					
10311			0	10			1	11	CircleLockEnemy	0.6	1	0.3	1					
10012			2	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10013			0	15			1	3	CircleLockEnemyR5H6HC	0.6	1	0.3		1	1			
10014			8	0	4	30	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10015			8	0			1	4	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10016			0	0			1	4	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10017			5	0	1	30	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10018			6	0			1	2	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10019			25	0	5	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10020			4	0			1	7	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10021			25	0	5	60	1	6	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10022	Test_CreateSharkTorpedo		5	0			2	0	CircleLockEnemyR10H6HC	0.6	1	0.3	1					
10023	Test_CreateSteamBang		10	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10024	Avatar_Ayaka_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10031	Avatar_Qin_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
