ID	怪物编号	等级	掉落ID	词缀列表	是否是精英怪
101	21010701	1	303141		1
102	21010701	2	303141		1
103	20011301	3	303141		1
104	20010901	4	303141		1
105	20010601	5	303141		1
106	20011301	6	303142		1
107	20010901	7	303142		1
108	20010601	8	303142		1
109	20011301	9	303142		1
110	20011301	10	303142		1
111	21020201	11	303143		1
112	20010901	12	303143		1
113	20010601	13	303143		1
114	21020201	14	303143		1
115	20010901	15	303143		1
116	20010601	16	303144		1
117	21020201	17	303144		1
118	20010901	18	303144		1
119	20010601	19	303144		1
120	21020201	20	303145		1
220	20010901	20	303145		1
320	20010601	20	303145		1
