ID	加工类型	默认解锁	加工时长	队列上限	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	产出1ID	产出1数量	产出2ID	产出2数量
1001	1	1	60	5	100017	1									110001	1		
1002	1	1	180	5	100078	1									110002	1		
1003	1	1	300	3	100064	2	100075	1							110003	1		
1004	1	1	300	5	100078	2									110004	1		
1005	1	1	300	3	100061	2	100075	1							110005	1		
1006	1	1	180	5	100012	2									110006	1		
1007	1	1	1200	1	100073	3									110007	1		
1008	1	1	600	2	100001	2	100051	2	110006	1					110008	1		
1009	1	1	600	2	100078	3									110009	1		
1010	1	1	900	2	100061	2	100075	2							110010	1		
1011	1	1	1200	1	100061	3									110011	1		
2001	1	1	300	3	100081	1									111001	1		
2002	1	1	300	3	100072	3									111002	1		
2003	1	1	300	3	100082	2									111003	1		
2004	1	1	300	3	100083	3									111004	1		
2005	1	1	300	3	100085	1									111005	1		
