常量名	常量值1	常量值2	常量值3	常量值4	常量值5	常量值6
1	24					
2	7.31					
3	10000005	10000007				
4	1					
5	10	10				
6	18	18				
7	59	1	91	2	105	3
8	25					
9	4					
10	15					
11	3					
66	50					
71	18	18				
81	10					
67	1.5					
45	100					
52	200	100				
12	-21	0.2	-2	0.2		
13	5000					
14	2000					
15	100					
16	3					
17	2					
18	255					
19	10					
20	5	20	300			
21	0	1				
22	60	50	10			
23	30					
24	10					
25	2					
26	10					
27	1					
28	0.5					
29	2					
30	0.5					
31	0.05					
32	30					
33	0.8					
34	0.7					
35	1.5	5	8	0.125	5	10
36	3					
37	40	5				
38	3					
39	10					
40	10					
41	3600	30				
42	1	10	0.3	0.1		
43	2					
44	3600	4				
46	50	100	1800			
47	200	300	50			
48	5					
49	16	16				
50	10					
53	5					
55	6					
54	8					
56	5					
58	6	40	5	5		
59	50	6				
60	202	100000				
61	8	3	400001	2	1	
62	5	10	85			
63	100	0.2				
64	4					
65	100161	100162	100163			
68	3	5	2			
69	7					
70	3					
72	1000					
73	15					
74	120					
75	20					
76	10					
77	0.07	0.09	0.12	0.16	0.32	
78	0.05	0.07	0.1	0.15	0.25	
79	5					
80	20					
82	300					
83	1					
84	70					
85	80					
86	20					
87	5					
88	1					
89	30	1				
91	1					
92	10	4	20	-5		
