ID	料理类型	烹饪方式	默认解锁	熟练度上限	品质1ID	品质1数量	品质2ID	品质2数量	品质3ID	品质3数量	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	烹饪自动QTE权重
1001	1	4	1	15	108011	1	108012	1	108013	1	100011	1	100064	1							10,10,80
1002	1	4	1	15	108001	1	108002	1	108003	1	100017	1	100076	1							10,10,80
1003	1	4	1	20	108015	1	108016	1	108017	1	100017	1	100064	1							5,10,85
1004	1	4	1	20	108031	1	108032	1	108033	1	100012	1	100064	2							5,10,85
1006	4	4	1	30	108049	1	108050	1	108051	1	100056	1	100016	2	100073	1					0,10,90
1007	2	4	1	30	108052	1	108053	1	108054	1	100063	1	110001	1	100075	1	110004	1			0,10,90
2001	1	2	1	15	108004	1	108005	1	108006	1	100062	1									10,10,80
2002	3	2	1	20	108034	1	108035	1	108036	1	110003	1	100064	1	100018	1					5,10,85
2003	1	2	1	20	108037	1	108038	1	108039	1	100015	2	100061	1							5,10,85
2004	4	2	1	30	108059	1	108060	1	108061	1	110005	1	110010	1	110011	1	100052	1			0,10,90
2005	3	2	1	30	108062	1	108063	1	108064	1	100013	2	100064	1	100053	1	110006	1			0,10,90
2006	1	2	1	30	108065	1	108066	1	108067	1	100018	1	110005	1	110002	1	110007	1			0,10,90
2007	1	4	1	30	108041	1	108042	1	108043	1	100011	1	110001	1	110009	1					0,10,90
3001	1	1	1	15	108007	1	108008	1	108009	1	100061	1									10,10,80
3002	4	1	1	20	108019	1	108020	1	108021	1	100014	1	100018	1							5,10,85
3003	1	1	1	30	108045	1	108046	1	108047	1	100080	1	110008	1	100020	1					0,10,90
3004	2	1	1	30	108055	1	108056	1	108057	1	100061	3	100080	1	110009	1	100055	2			0,10,90
4001	1	1	1	20	108022	1	108023	1	108024	1	100017	1	100062	1	100051	2					5,10,85
4002	2	1	1	20	108025	1	108026	1	108027	1	100014	1	100017	1							5,10,85
4003	2	1	1	20	108028	1	108029	1	108030	1	100018	1	100001	3	100062	1					5,10,85
