台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID
3470101			1	1246
3470201	3470202		1	1247
3470202			1	1005
3470301	3470302		1	1248
3470302	3470303		1	1248
3470303	3470304		1	1005
3470304			1	1005
3470401	3470402		1	1249
3470402	3470403		1	1249
3470403	3470404		1	1249
3470404	3470405		1	1249
3470405	3470406		1	1249
3470406	3470407		1	1249
3470407	3470408		1	1249
3470408			1	1249
3470501	3470502		1	1250
3470502			1	1005
3470601	3470602		1	1251
3470602	3470603		1	1251
3470603	3470604		1	1251
3470604	3470605		1	1251
3470605			1	1251
3470701	3470702		1	1252
3470702			1	1252
3470801	3470802		1	1253
3470802	3470803		1	1005
3470803	3470804		1	1253
3470804			1	1005
3470901	3470902		1	1254
3470902			1	1254
3471001			1	1255
3480101	3480102		1	1245
3480102	3480103		1	1245
3480103	3480104		1	1245
3480104	3480105		1	1245
3480105	3480106		1	1245
3480106	3480107		1	1245
3480107			1	1005
3480201	3480203		1	1245
3480203	3480204		1	1245
3480204	3480205		1	1245
3480205	3480206		1	1245
3480206	3480207		1	1245
3480207	3480208		1	1245
3480208			1	1245
3480301	3480303		1	1245
3480303	3480304		1	1245
3480304	3480305		1	1245
3480305	3480306		1	1245
3480306	3480307		1	1245
3480307			1	1245
3480401	3480403		1	1245
3480403	3480404		1	1245
3480404	3480405		1	1245
3480405	3480406		1	1245
3480406			1	1245
3480501	3480503		1	1245
3480503	3480504		1	1245
3480504	3480505		1	1245
3480505	3480506		1	1245
3480506	3480507		1	1245
3480507			1	1245
3480601	3480602		1	1245
3480602	3480603		1	1245
3480603	3480604		1	1245
3480604	3480605		1	1245
3480605	3480606		1	1245
3480606			1	1245
3480701	3480702		1	1245
3480702	3480703		1	1245
3480703	3480704		1	1245
3480704	3480705		1	1245
3480705	3480706		1	1245
3480706			1	1245
3480801	3480803		1	1245
3480803	3480804		1	1245
3480804	3480805		1	1245
3480805			1	1245
3480901	3480903		1	1245
3480903	3480904		1	1245
3480904	3480905		1	1245
3480905	3480906		1	1245
3480906			1	1245
3481001	3481003		1	1245
3481003	3481004		1	1245
3481004	3481005		1	1245
3481005	3481006		1	1245
3481006	3481007		1	1245
3481007			1	1245
3481101	3481102		1	1245
3481102	3481103		1	1245
3481103	3481104		1	1245
3481104	3481105		1	1245
3481105	3481106		1	1245
3481106			1	1245
3481201	3481203		1	1245
3481203	3481204		1	1245
