掉落ID	随机策略	随机次数	子掉落ID	子掉落ID权重
100010	2		1000100	5000
100011	2		1000110	6667
100012	2		1000120	6667
100013	2		1000130	6667
100014	2		1000140	6667
100015	2		1000150	6667
100016	2		1000160	6667
100017	2		1000170	6667
100020			1000200	10000
100021			1000210	10000
100022			1000220	10000
100023			1000230	10000
100024			1000240	10000
100025			1000250	10000
100026			1000260	10000
100027			1000270	10000
100030			1000300	10000
101010			1010100	10000
101011			1010110	10000
101012			1010120	10000
101013			1010130	10000
101014			1010140	10000
101015			1010150	10000
101016			1010160	10000
101017			1010170	10000
101020			1010200	10000
101021			1010210	10000
101022			1010220	10000
101023			1010230	10000
101024			1010240	10000
101025			1010250	10000
101026			1010260	10000
101027			1010270	10000
101030			1010300	10000
101031			1010310	10000
101032			1010320	10000
101033			1010330	10000
101034			1010340	10000
101035			1010350	10000
101036			1010360	10000
101037			1010370	10000
105020			1050200	10000
105021			1050210	10000
105022			1050220	10000
105023			1050230	10000
105024			1050240	10000
105025			1050250	10000
105026			1050260	10000
105027			1050270	10000
110010			1100100	10000
110011			1100110	10000
110020			1100200	10000
110021			1100210	10000
180001			1800010	10000
180002			1800020	10000
181001	2		4032210	10000
181001	2		4032211	10000
181001	2		1810010	10000
181002	2		4031210	10000
181002	2		4031211	10000
181002	2		1810010	10000
190001			1900010	10000
190002			1900020	10000
200601			200601	10000
200701			200701	10000
200702			200702	10000
200703			200703	10000
200704			200704	10000
200705			200705	10000
201000			201000	10000
201001			201001	10000
201002			201002	10000
201003			201003	10000
201004			201004	10000
201005			201005	10000
201006			201006	10000
201007			201007	10000
201008			201008	10000
210101			2101010	10000
210201			2102010	10000
210301			2103010	10000
210401			2104010	10000
211001			2110010	10000
211101			2111010	10000
211201			2112010	10000
211301			2113010	10000
212101			2121010	10000
212201			2122010	10000
212301			2123010	10000
212401			2124010	10000
212501			2125010	10000
212601			2126010	10000
212701			2127010	10000
303101	2		3031010	10000
303102	2		3031020	10000
303103	2		3031030	10000
303104	2		3031040	10000
303105	2		3031050	10000
303121	2		3031210	10000
303122	2		3031220	10000
303123	2		3031230	10000
303124	2		3031240	10000
303125	2		3031250	10000
303141	2		3031410	10000
303142	2		3031420	10000
303143	2		3031430	10000
303144	2		3031440	10000
303145	2		3031450	10000
303101	2		4103	2000
303102	2		4103	2000
303103	2		4101	2000
303104	2		4101	2000
303105	2		4101	2000
303121	2		4103	4000
303122	2		4103	4000
303123	2		4102	4000
303124	2		4102	4000
303125	2		4102	4000
303141	2		4103	4000
303142	2		4103	4000
303143	2		4102	4000
303144	2		4102	4000
303145	2		4102	4000
303001			3030010	10000
303002			3030020	10000
303003			3030030	10000
303004			3030040	10000
303005			3030050	10000
303041			3030410	10000
303042			3030420	10000
303043			3030430	10000
303044			3030440	10000
303045			3030450	10000
400001			4000010	10000
400002			4000020	4000
400101			4001010	10000
400102	2		4001020	1500
400102	2		4011	4200
400103	2		4001030	1500
400103	2		4011	4200
400104	2		4001040	1500
400104	2		4011	4200
403020	2		4030200	10000
403021	2		4030210	10000
403022	2		4030220	10000
403020	2		4030201	10000
403021	2		4030211	10000
403022	2		2003	10000
500001			5000010	10000
946201			9462010	10000
937501	2		9375010	10000
937501	2		4011	2000
1000701			10007010	10000
1000702			10007020	10000
1100201			11002010	10000
1100202			11002020	10000
1300101			13001010	10000
1300102			13001020	10000
1300201			13002010	10000
1000100	2		10001000	10000
1100100	2		11001000	10000
1100300	2		11003000	10000
1001000	2		10010000	10000
1400100	2		14001000	10000
1400200	2		14002000	10000
1400300	2		14003000	10000
1400400	2		14004000	10000
1400700	2		14007000	10000
1400800	2		14008000	10000
1400900	2		14009000	10000
1400600	2		14006000	10000
1400500	2		14005000	10000
1200000	2		12000000	10000
1000104	2		10001040	10000
1100304	2		11003040	10000
1001004	2		10010040	10000
1400604	2		14006040	10000
1000102	2		10001020	10000
1100102	2		11001020	10000
1100302	2		11003020	10000
1001002	2		10010020	10000
1400302	2		14003020	10000
1400402	2		14004020	10000
1400702	2		14007020	10000
1400602	2		14006020	10000
1400502	2		14005020	10000
1200002	2		12000020	10000
1100301	2		11003010	10000
1001001	2		10010010	10000
1400201	2		14002010	10000
1400301	2		14003010	10000
1400401	2		14004010	10000
1400901	2		14009010	10000
1400601	2		14006010	10000
1200001	2		12000010	10000
1100100	2		11001001	10000
1100300	2		11003001	10000
1001000	2		2003	10000
1400100	2		14001001	10000
1400200	2		14002001	10000
1400700	2		14007001	10000
1400800	2		14008001	10000
1400300	2		2101	10000
1400400	2		2102	10000
1400900	2		2103	10000
1400600	2		2104	10000
