ID	类型	玩法类型	场景ID	块ID	脚本定时事件间隔	掉落预览	联机类型	显示等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	通关奖励RewardID	结算倒计时	结算显示1	结算显示2	结算显示3	结算显示4	禁止重新挑战
1	1		20008			10001	1	4	1	3			8		10	1					120				4	
2	2		20008			1	1	20	1	10			2		5	10			220002	230002	60	1	2	3		
3	2		20008	20008		1	1	30	1	20			2		5	10			220003	230003	60	1	2	3		
4	2		20007			1	1	15	1				1		5	10			220004	230004	60	1	2	3		
5	2		20007			1	1	25	1				1		5	10			220005	230005	60	1	2	3		
6	2		20007			1	1	35	1				1		5	10			220006	230006	60	1	2	3		
7	1		20006			1	1	15	1	13			5		5	10			220007	230007	60	1				
8	2		20006			1	1	20	1				1		5	10			220008	230008	60	1	2	3		
9	2		20006			1	1	30	1				1		5	10			220009	230009	60	1	2	3		
10	1		1006			10010	1	12	1	11			22		10	1					120					
11	2		1007			1	1	1	1				1		10	10			220011	230011	60	1	2	3		
12	2		1010			1	1	1	1	1			1		10	10			220011	230011	60	1	2	3		
13	2		1011			1	1	1	1				9		10	10			221000	231000	120					
14	2		1012			1	1	9	1	8			9		10	10			221000	231000	120					
1000	2		20000			1	1	9	1	8			9		10	10			221000	231000	120					
15	2		50002			1	1	9	1	8			9		10	10			221000	231000	120					
16	2		1001			1	1	1	1				9		10	10			221000	231000	120					
17	2		50003			1	1	10	1	9			21		10	99			221000	231000	120					
18	2		50004			1	1	10	1				21		10	99			221000	231000	120					
19	2		50005			1	1	10	1				21		10	99			221000	231000	120					
1001	1		20009			11001	1	4	1	3			7		10	1					120					
1002	2		20010			1	1	7	1	6			15		10	10			221002	231002	120					
1003	1		20011			11003	1	4	1	3			9		10	1					120					
1004	1		20012			1	1	16	1	15			16		5	10			221004	231004	60	1	3			
1005	1		20013			1	1	10	1	9			12		0	10			221005	231005	60					
1006	1		20014			1	1	10	1	9			11		0	10			221006	231006	60					
1007	2		20015			1	1	7	1	6			9		10	10			221007	231007	120	1				
2000	1		20016			12000	1	10	1	9			21		10	10					120	1				1
2001	1		20017			1	1	20	1	9			1	2002	0	0					5					1
2002	1		20018			1	1	20	1	9			26		0	0					99				4	1
2003	1		20019			1	1	10	1	9			25		10	10			221007	231007	999					
2004	1		20020			1	1	10	1	9			27		0	0					999					1
2005	1		20021			1	1	10	1	9			25		10	10			221007	231007	999					
3001	2	1	30001		1	1	1	10	1	9			13		10	10			223001	233001	120	3	1			
3002	2		30002			1	1	7	1	9			18		10	10			223001	233001	120	3	1			
3003	2		30003			1	1	7	1	9			19		10	10			223001	233001	120	3	1			
3004	2		50001			13004	3	24	1	23			20		10	3			223004		120	3	1			1
4001	2		40001			14001	1	8	1	7			14		5	3			224001		60	1	3			
4002	2		30003			14002	1	10	1	9			19		5	3			224002		60	1	3			
4003	2		20010			14003	1	12	1	11			15		5	3			224003		60	1	3			
4004	2		20013			14004	1	13	1	12			24		0	3			224004		60	1	3			
4005	2		20014			14005	1	21	1	20			11		5	3			224005		60	1	3			
4006	2		40007			14006	1	28	1	27			23		5	3			224006		60	1	3			
4007	2		40004			14007	1	15	1	14			17		5	3			224007		60	1	3			
4008	2		20012			14008	1	16	1	15			16		5	3			224008		60	1	3			
4009	2		30002			14009	1	17	1	16			18		5	3			224009		60	1	3			
