ID	[条件]组合	[条件]1类型	[条件]1参数1	[条件]1参数2	[条件]2类型	[条件]2参数1	[条件]2参数2	[条件]2参数3
1		1						
2		5	220008004					
3		5	220009003					
4		7	2	2				
5		9	41313					
6	1	9	41310		13	60		
7		9	30610					
8		9	30713					
9		9	30814					
10		5	220011003					
11		5	220014007					
12	1	1			13	480		
13	1	11	100		13	240		
14		5	240001004					
15		5	220010009					
16		5	220012007					
17	2	14	1002					
18		14	4					
19		14	2					
20		5	250001006					
21		9	46305					
22		9	38105					
23		5	240007003					
24		5	220013005					
25		5	220019001					
26		9	39403					
27		9	35722					
