提示台词ID	停留显示时长
1	2
2	3
1001001	2
1001002	3
1001003	2
1001004	2
1001005	3
1002001	4
1003001	3
1004001	2
1005001	3
1005002	2
1005003	2
1006001	3
1006002	3
1007001	2
1007002	4
1008001	2
1009001	2
1009002	4
1009003	2
1010001	4
1010002	3
1010003	3
1010004	6
1010005	4
1010006	3
1010007	3
1010008	4
1010009	6
1010010	2
1011001	4
1011002	4
1002002	4
1002003	4
1002004	2
1002005	5
1002006	3
1002007	4
1002008	5
1031001	2
1031002	2
1031003	2
1031004	3
1031005	3
1031006	4
1032001	4
1032002	2
1032003	3
1032004	3
1013001	2
1013002	2
1013003	2
1014001	4
1015001	4
1016001	3
1017001	2
1017002	3
1017003	4
1018001	3
1018002	3
1019001	3
1019002	4
1021001	3
1021002	2
1022001	3
1023001	3
1023002	4
1024001	3
1025001	3
1026001	2
1027001	2
1028001	2
1028002	2
1029001	3
1029002	3
1030001	3
1033001	3
1033002	4
1033003	3
1034001	3
1035001	2
1035002	3
1036001	3
1036002	2
1037001	4
1037002	3
1037003	3
1038002	3
1039001	2
1039002	2
1039003	2
1039004	4
1039005	5
1039006	2
1039007	2
1039008	3
1039009	3
1039010	2
1039011	2
1039012	2
1041001	5
1041002	3
1041003	3
1041004	2
1041005	2
1041011	2
1041021	3
1041022	4
1041023	6
1041024	5
1041025	3
1041026	6
1041027	4
1041028	7
1041029	3
1041031	3
1041041	2
1041042	3
1041051	2
1041061	2
1041071	3
1041072	3
1041073	3
1041081	2
1041091	4
1041092	3
1041093	2
1041094	3
1041101	2
1041102	3
1041111	3
1041112	5
1041113	3
1041114	3
1042001	3
1042002	3
1042003	2
1042011	3
1042021	3
1042031	3
1042041	3
1042051	3
1042052	3
1042061	3
1042062	3
1042071	3
1042081	2
1042091	3
1042092	3
1042093	3
1042094	3
1042095	3
1042096	2
1042097	2
1042098	2
10060101	3
10060201	2
10060202	3
10060301	3
10060401	4
10060501	4
10060601	4
10060602	4
10060603	5
10060701	4
10060801	4
10060901	4
10060902	5
10050101	3
10050201	4
10050301	5
10050401	4
10050501	4
10050601	4
10050701	5
10050801	5
10050901	5
10051001	5
10051101	5
10051201	5
10051301	5
10051401	5
10051501	5
10051601	5
10051701	5
10051801	6
10051802	5
10051803	5
10051804	5
10051805	3
10051806	2
20010001	5
20010002	5
20010003	5
20010004	3
20010005	3
20010006	3
20010007	3
20010008	3
20010009	3
20010010	3
20010011	3
20010012	3
20010013	3
20010014	3
20010015	3
20010016	3
20010017	3
20010018	3
20010019	3
20010020	3
20010021	3
20010101	3
20010102	4
20010201	3
20010301	4
20010401	4
20010402	4
20010501	4
20010502	4
20010601	4
20010602	4
20010603	4
20010701	4
20010702	4
20010703	5
20010302	4
20011001	10
20011002	10
20011003	10
20011004	10
20011005	10
20011006	5
40010101	4
40010201	4
40010301	4
40010401	4
10010101	2
10010102	2
10010103	4
10010201	3
10010202	4
10010301	3
10010302	2
10010303	2
10010304	3
10010305	4
10010306	3
20020101	7
20020102	5
20020103	5
20020201	5
20020202	5
20020203	4
20020204	4
20020205	3
20020301	10
