等级	冲击伤害系数	元素反应伤害成长
1	1	5.535627
2	1	7.336904
3	1	9.39724
4	1.1	11.778113
5	1.2	17.227893
6	1.3	22.130287
7	1.4	28.546255
8	1.6	33.287488
9	1.8	38.238015
10	2	43.297081
11	2.2	48.026403
12	2.4	54.414299
13	2.6	60.852313
14	2.9	67.826126
15	3.2	74.482516
16	3.5	84.544811
17	3.8	89.524575
18	4.2	94.842453
19	4.6	103.083019
20	5	114.928302
21	5.4	127.69967
22	5.8	145.53467
23	6.2	165.565283
24	6.7	184.129245
25	7.2	197.606179
26	7.7	207.003538
27	8.2	215.861509
28	8.8	225.322642
29	9.4	234.590755
30	10	244.514151
31	10.6	254.225472
32	11.2	264.619811
33	11.8	274.809858
34	12.5	285.684198
35	13.2	296.335094
36	13.9	307.726415
37	14.6	322.826651
38	15.4	338.859198
39	16.2	354.716038
40	17	371.491981
41	17.8	388.089245
42	18.6	405.68066
43	19.4	423.031132
44	20.3	441.390566
45	21.2	459.53783
46	22.1	474.15566
47	23	488.369906
48	24	503.602358
49	25	518.377311
50	26	534.203774
51	27	549.583396
52	28	566.015094
53	29	581.977217
54	30.1	599.09434
55	31.2	615.65
56	32.3	633.396226
57	33.4	659.197028
58	34.6	686.44316
59	35.8	713.408113
60	37	741.919811
61	38.2	770.109198
62	39.4	799.875
63	40.6	829.313396
64	41.9	860.47217
65	43.2	891.185142
66	44.5	913.60967
67	45.8	935.25434
68	47.2	958.432075
69	48.6	980.881934
70	50	1004.866981
71	51.4	1028.056981
72	52.8	1052.864151
73	54.2	1076.848443
74	55.7	1102.492925
75	57.2	1127.286038
76	58.7	1153.825472
77	60.2	1196.341557
78	61.8	1241.162972
79	63.4	1285.624623
80	65	1332.44434
81	66.6	1378.848538
82	68.2	1427.752358
83	69.8	1476.183774
84	71.5	1527.215094
85	73.2	1577.760849
86	74.9	1610.865566
87	76.6	1642.209717
88	78.4	1676.368868
89	80.2	1709.337689
90	82	1744.575708
