AffixID	ID	词缀等级	开启配置1	开启配置2	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值
1110010	111001	0	Sword_Norse_0					
1110011	111001	1	Sword_Norse_1					
1110012	111001	2	Sword_Norse_2					
1110013	111001	3	Sword_Norse_3					
1110014	111001	4	Sword_Norse_4					
1110030	111003	0	Weapon_Sword_Zephyrus_0					
1110031	111003	1	Weapon_Sword_Zephyrus_1					
1110032	111003	2	Weapon_Sword_Zephyrus_2					
1110033	111003	3	Weapon_Sword_Zephyrus_3					
1110034	111003	4	Weapon_Sword_Zephyrus_4					
1113020	111302	0	Weapon_Sword_FullHPCriticUp_0					
1113021	111302	1	Weapon_Sword_FullHPCriticUp_1					
1113022	111302	2	Weapon_Sword_FullHPCriticUp_2					
1113023	111302	3	Weapon_Sword_FullHPCriticUp_3					
1113024	111302	4	Weapon_Sword_FullHPCriticUp_4					
1113030	111303	0	Weapon_Sword_MoveSpeedAfterULT_0					
1113031	111303	1	Weapon_Sword_MoveSpeedAfterULT_1					
1113032	111303	2	Weapon_Sword_MoveSpeedAfterULT_2					
1113033	111303	3	Weapon_Sword_MoveSpeedAfterULT_3					
1113034	111303	4	Weapon_Sword_MoveSpeedAfterULT_4					
1114010	111401	0	Weapon_Sword_GenerateBallWhenCritic_0					
1114011	111401	1	Weapon_Sword_GenerateBallWhenCritic_1					
1114012	111401	2	Weapon_Sword_GenerateBallWhenCritic_2					
1114013	111401	3	Weapon_Sword_GenerateBallWhenCritic_3					
1114014	111401	4	Weapon_Sword_GenerateBallWhenCritic_4					
1114020	111402	0	Weapon_Sword_MusicBlast_0					
1114021	111402	1	Weapon_Sword_MusicBlast_1					
1114022	111402	2	Weapon_Sword_MusicBlast_2					
1114023	111402	3	Weapon_Sword_MusicBlast_3					
1114024	111402	4	Weapon_Sword_MusicBlast_4					
1114030	111403	0	Weapon_Sword_GetShieldBeingHit_0					
1114031	111403	1	Weapon_Sword_GetShieldBeingHit_1					
1114032	111403	2	Weapon_Sword_GetShieldBeingHit_2					
1114033	111403	3	Weapon_Sword_GetShieldBeingHit_3					
1114034	111403	4	Weapon_Sword_GetShieldBeingHit_4					
1114040	111404	0	Weapon_Sword_CritUpWhenHitNoCrit_0					
1114041	111404	1	Weapon_Sword_CritUpWhenHitNoCrit_1					
1114042	111404	2	Weapon_Sword_CritUpWhenHitNoCrit_2					
1114043	111404	3	Weapon_Sword_CritUpWhenHitNoCrit_3					
1114044	111404	4	Weapon_Sword_CritUpWhenHitNoCrit_4					
1115020	111502	0	Sword_Dvalin_0					
1115021	111502	1	Sword_Dvalin_1					
1115022	111502	2	Sword_Dvalin_2					
1115023	111502	3	Sword_Dvalin_3					
1115024	111502	4	Sword_Dvalin_4					
1123010	112301	0	Weapon_Claymore_ExtraPhyDamagePerHit_0					
1123011	112301	1	Weapon_Claymore_ExtraPhyDamagePerHit_1					
1123012	112301	2	Weapon_Claymore_ExtraPhyDamagePerHit_2					
1123013	112301	3	Weapon_Claymore_ExtraPhyDamagePerHit_3					
1123014	112301	4	Weapon_Claymore_ExtraPhyDamagePerHit_4					
1123020	112302	0	Weapon_Claymore_LowHPAddExtraAttackEndura_0					
1123021	112302	1	Weapon_Claymore_LowHPAddExtraAttackEndura_1					
1123022	112302	2	Weapon_Claymore_LowHPAddExtraAttackEndura_2					
1123023	112302	3	Weapon_Claymore_LowHPAddExtraAttackEndura_3					
1123024	112302	4	Weapon_Claymore_LowHPAddExtraAttackEndura_4					
1123030	112303	0						
1123031	112303	1						
1123032	112303	2						
1123033	112303	3						
1123034	112303	4						
1124010	112401	0	Weapon_Claymore_GenerateBallWhenCritic_0					
1124011	112401	1	Weapon_Claymore_GenerateBallWhenCritic_1					
1124012	112401	2	Weapon_Claymore_GenerateBallWhenCritic_2					
1124013	112401	3	Weapon_Claymore_GenerateBallWhenCritic_3					
1124014	112401	4	Weapon_Claymore_GenerateBallWhenCritic_4					
1124020	112402	0	Weapon_Claymore_GetShieldBeingHit_0					
1124021	112402	1	Weapon_Claymore_GetShieldBeingHit_1					
1124022	112402	2	Weapon_Claymore_GetShieldBeingHit_2					
1124023	112402	3	Weapon_Claymore_GetShieldBeingHit_3					
1124024	112402	4	Weapon_Claymore_GetShieldBeingHit_4					
1124030	112403	0	Weapon_Claymore_ResetCDWhenSkillHit_0					
1124031	112403	1	Weapon_Claymore_ResetCDWhenSkillHit_1					
1124032	112403	2	Weapon_Claymore_ResetCDWhenSkillHit_2					
1124033	112403	3	Weapon_Claymore_ResetCDWhenSkillHit_3					
1124034	112403	4	Weapon_Claymore_ResetCDWhenSkillHit_4					
1124040	112404	0	Weapon_Claymore_AtkDefUpWhenExtraAttack_0					
1124041	112404	1	Weapon_Claymore_AtkDefUpWhenExtraAttack_1					
1124042	112404	2	Weapon_Claymore_AtkDefUpWhenExtraAttack_2					
1124043	112404	3	Weapon_Claymore_AtkDefUpWhenExtraAttack_3					
1124044	112404	4	Weapon_Claymore_AtkDefUpWhenExtraAttack_4					
1124050	112405	0	Weapon_Claymore_CritUpWhenHitNoCrit_0					
1124051	112405	1	Weapon_Claymore_CritUpWhenHitNoCrit_1					
1124052	112405	2	Weapon_Claymore_CritUpWhenHitNoCrit_2					
1124053	112405	3	Weapon_Claymore_CritUpWhenHitNoCrit_3					
1124054	112405	4	Weapon_Claymore_CritUpWhenHitNoCrit_4					
1140030	114003	0	Weapon_Claymore_Zephyrus_0					
1140031	114003	1	Weapon_Claymore_Zephyrus_1					
1140032	114003	2	Weapon_Claymore_Zephyrus_2					
1140033	114003	3	Weapon_Claymore_Zephyrus_3					
1140034	114003	4	Weapon_Claymore_Zephyrus_4					
1143020	114302	0	Weapon_Catalyst_OnKilledAttackUp_0					
1143021	114302	1	Weapon_Catalyst_OnKilledAttackUp_1					
1143022	114302	2	Weapon_Catalyst_OnKilledAttackUp_2					
1143023	114302	3	Weapon_Catalyst_OnKilledAttackUp_3					
1143024	114302	4	Weapon_Catalyst_OnKilledAttackUp_4					
1143030	114303	0	Weapon_Catalyst_OnGainEnergyHealHP_0					
1143031	114303	1	Weapon_Catalyst_OnGainEnergyHealHP_1					
1143032	114303	2	Weapon_Catalyst_OnGainEnergyHealHP_2					
1143033	114303	3	Weapon_Catalyst_OnGainEnergyHealHP_3					
1143034	114303	4	Weapon_Catalyst_OnGainEnergyHealHP_4					
1144010	114401	0	Weapon_Catalyst_EnergyMaxElementDamageUp_0					
1144011	114401	1	Weapon_Catalyst_EnergyMaxElementDamageUp_1					
1144012	114401	2	Weapon_Catalyst_EnergyMaxElementDamageUp_2					
1144013	114401	3	Weapon_Catalyst_EnergyMaxElementDamageUp_3					
1144014	114401	4	Weapon_Catalyst_EnergyMaxElementDamageUp_4					
1144020	114402	0	Weapon_Catalyst_RandomBuff_0					
1144021	114402	1	Weapon_Catalyst_RandomBuff_1					
1144022	114402	2	Weapon_Catalyst_RandomBuff_2					
1144023	114402	3	Weapon_Catalyst_RandomBuff_3					
1144024	114402	4	Weapon_Catalyst_RandomBuff_4					
1144030	114403	0	Weapon_Catalyst_ResetCDWhenSkillHit_0					
1144031	114403	1	Weapon_Catalyst_ResetCDWhenSkillHit_1					
1144032	114403	2	Weapon_Catalyst_ResetCDWhenSkillHit_2					
1144033	114403	3	Weapon_Catalyst_ResetCDWhenSkillHit_3					
1144034	114403	4	Weapon_Catalyst_ResetCDWhenSkillHit_4					
1144040	114404	0	Weapon_Catalyst_ChanceBoltWhenNormalAttack_0					
1144041	114404	1	Weapon_Catalyst_ChanceBoltWhenNormalAttack_1					
1144042	114404	2	Weapon_Catalyst_ChanceBoltWhenNormalAttack_2					
1144043	114404	3	Weapon_Catalyst_ChanceBoltWhenNormalAttack_3					
1144044	114404	4	Weapon_Catalyst_ChanceBoltWhenNormalAttack_4					
1150030	115003	0	Weapon_Bow_Zephyrus_0					
1150031	115003	1	Weapon_Bow_Zephyrus_1					
1150032	115003	2	Weapon_Bow_Zephyrus_2					
1150033	115003	3	Weapon_Bow_Zephyrus_3					
1150034	115003	4	Weapon_Bow_Zephyrus_4					
1153010	115301	0	Weapon_Bow_HealAmountHPonEnemyKilled_0					
