等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
1	1	2	1	2	2	1	12	2	1	13	2	1
2	1	2	1.28	2	2	1.19	12	2	1.21	13	2	1.004
3	1	2	1.6	2	2	1.4	12	2	1.4	13	2	1.008
4	1	2	1.95	2	2	1.6	12	2	1.62	13	2	1.012
5	1	2	2.79	2	2	1.81	12	2	1.81	13	2	1.016
6	1	2	3.49	2	2	2.02	12	2	2.02	13	2	1.02
7	1	2	4.41	2	2	2.23	12	2	2.21	13	2	1.024
8	1	2	5.16	2	2	2.45	12	2	2.43	13	2	1.028
9	1	2	5.95	2	2	2.69	12	2	2.62	13	2	1.032
10	1	2	6.76	2	2	2.93	12	2	2.83	13	2	1.036
11	1	2	7.53	2	2	3.19	12	2	3.02	13	2	1.04
12	1	2	8.55	2	2	3.45	12	2	3.24	13	2	1.044
13	1	2	9.61	2	2	3.73	12	2	3.43	13	2	1.048
14	1	2	10.73	2	2	4.03	12	2	3.64	13	2	1.052
15	1	2	11.83	2	2	4.33	12	2	3.83	13	2	1.056
16	1	2	13.45	2	2	4.62	12	2	4.05	13	2	1.06
17	1	2	14.03	2	2	4.94	12	2	4.24	13	2	1.064
18	1	2	14.6	2	2	5.27	12	2	4.45	13	2	1.068
19	1	2	15.64	2	2	5.6	12	2	4.64	13	2	1.072
20	1	2	17.14	2	2	5.93	12	2	4.86	13	2	1.076
21	1	2	18.78	2	2	6.31	12	2	5.05	13	2	1.08
22	1	2	21.05	2	2	6.86	12	2	5.27	13	2	1.084
23	1	2	23.62	2	2	7.59	12	2	5.45	13	2	1.088
24	1	2	25.85	2	2	8.33	12	2	5.67	13	2	1.092
25	1	2	27.37	2	2	8.76	12	2	5.86	13	2	1.096
26	1	2	28.23	2	2	9	12	2	6.08	13	2	1.1
27	1	2	29.06	2	2	9.25	12	2	6.27	13	2	1.104
28	1	2	29.88	2	2	9.5	12	2	6.48	13	2	1.108
29	1	2	30.71	2	2	9.76	12	2	6.67	13	2	1.112
30	1	2	31.55	2	2	10.01	12	2	6.89	13	2	1.116
31	1	2	32.39	2	2	10.27	12	2	7.08	13	2	1.12
32	1	2	33.25	2	2	10.54	12	2	7.29	13	2	1.124
33	1	2	34.11	2	2	10.8	12	2	7.48	13	2	1.128
34	1	2	34.97	2	2	11.07	12	2	7.7	13	2	1.132
35	1	2	35.85	2	2	11.35	12	2	7.89	13	2	1.136
36	1	2	36.73	2	2	11.62	12	2	8.1	13	2	1.14
37	1	2	38.09	2	2	12.1	12	2	8.29	13	2	1.144
38	1	2	39.46	2	2	12.57	12	2	8.51	13	2	1.148
39	1	2	40.84	2	2	13.05	12	2	8.7	13	2	1.152
40	1	2	42.23	2	2	13.54	12	2	8.91	13	2	1.156
41	1	2	43.63	2	2	14.03	12	2	9.1	13	2	1.16
42	1	2	45.04	2	2	14.52	12	2	9.32	13	2	1.164
43	1	2	46.46	2	2	15.02	12	2	9.51	13	2	1.168
44	1	2	47.89	2	2	15.52	12	2	9.72	13	2	1.172
45	1	2	49.34	2	2	16.03	12	2	9.91	13	2	1.176
46	1	2	50.31	2	2	16.34	12	2	10.13	13	2	1.18
47	1	2	51.28	2	2	16.66	12	2	10.32	13	2	1.184
48	1	2	52.27	2	2	16.98	12	2	10.54	13	2	1.188
49	1	2	53.26	2	2	17.31	12	2	10.72	13	2	1.192
50	1	2	54.27	2	2	17.63	12	2	10.94	13	2	1.196
51	1	2	55.28	2	2	17.96	12	2	11.13	13	2	1.2
52	1	2	56.3	2	2	18.3	12	2	11.35	13	2	1.204
53	1	2	57.33	2	2	18.64	12	2	11.54	13	2	1.208
54	1	2	58.37	2	2	18.99	12	2	11.75	13	2	1.212
55	1	2	59.42	2	2	19.34	12	2	11.94	13	2	1.216
56	1	2	60.48	2	2	19.69	12	2	12.16	13	2	1.22
57	1	2	62.36	2	2	20.37	12	2	12.35	13	2	1.224
58	1	2	64.26	2	2	21.06	12	2	12.56	13	2	1.228
59	1	2	66.18	2	2	21.75	12	2	12.75	13	2	1.232
60	1	2	68.12	2	2	22.44	12	2	12.97	13	2	1.236
61	1	2	70.08	2	2	23.15	12	2	13.16	13	2	1.24
62	1	2	72.06	2	2	23.86	12	2	13.37	13	2	1.244
63	1	2	74.06	2	2	24.58	12	2	13.56	13	2	1.248
64	1	2	76.08	2	2	25.31	12	2	13.78	13	2	1.252
65	1	2	78.12	2	2	26.04	12	2	13.97	13	2	1.256
66	1	2	79.31	2	2	26.45	12	2	14.18	13	2	1.26
67	1	2	80.51	2	2	26.86	12	2	14.37	13	2	1.264
68	1	2	81.71	2	2	27.28	12	2	14.59	13	2	1.268
69	1	2	82.94	2	2	27.69	12	2	14.78	13	2	1.272
70	1	2	84.17	2	2	28.12	12	2	15	13	2	1.276
71	1	2	85.41	2	2	28.56	12	2	15.18	13	2	1.28
72	1	2	86.67	2	2	29	12	2	15.4	13	2	1.284
73	1	2	87.94	2	2	29.44	12	2	15.59	13	2	1.288
