ID	血量	血量成长曲线	攻击	攻击成长曲线	防御	防御成长曲线
70220001	2960	1	24.7	2	37	12
70220002	2960	1	24.7	2	37	12
70220003	2960	1	4.9	2	37	12
70220004	2960	1	37	2	37	12
70220005	2960	1	37	2	37	12
70220007	2960	1	4.9	2	37	12
70220023	2960	1	24.7	2	37	12
70310001	2960	1	24.7	2	37	12
70310002	2960	1	24.7	2	37	12
70310003	2960	1	24.7	2	37	12
70310004	2960	1	24.7	2	37	12
70320001	2960	1	24.7	2	37	12
70320002	2960	1	49.3	2	37	12
70900006	2960	1	0	2	37	12
70900007	2960	1	0	2	37	12
70900008	2960	1	0	2	37	12
70900009	2960	1	0	2	37	12
70900010	2960	1	0	2	37	12
70900011	2960	1	0	2	37	12
70900012	2960	1	0	2	37	12
70900013	2960	1	0	2	37	12
70900020	2960	1	0	2	37	12
70900021	2960	1	0	2	37	12
70510001	2960	1	9.9	2	37	12
70510002	2960	1	9.9	2	37	12
70510003	2960	1	9.9	2	37	12
70510004	2960	1	9.9	2	37	12
70510005	2960	1	9.9	2	37	12
70510006	2960	1	9.9	2	37	12
70510007	2960	1	9.9	2	37	12
70300055	100	1	0	2	37	12
