ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落
101	1												1									3		
102	1												1									3		
103	1												1									3		
104	1												1									4		
201	1			70590012			8						1									4		
202	1			70590011			8						1									3		
301	2		10	70590016			4			1000												3		
302	2		10	70590017			4			1000												3		
303	2		10	70590019			4			1000												3		
304	2		10	70590020			4			1000												3		
305	2		10	70590014			4			1000												3		
306	2		10	70590018			4			1000												3		
307	2		10	70590015			4			1000												3		
901	2						14			1000												3		
902	2						14			1000												3		
903	2						14			1000												3		
904	2						14			1000												3		
905	2						14			1000												3		
906	2						14			1000												3		
907	2						14			1000												3		
911	2						14			1000												3		
912	2						14			1000												3		
913	2						14			1000												3		
914	2						14			1000												3		
915	2						14			1000												3		
916	2						14			1000												3		
917	2						14			1000												3		
921	2						14			1000												4		
922	2						14			1000												4		
923	2						14			1000												4		
924	2						14			1000												4		
925	2						14			1000												4		
926	2						14			1000												4		
927	2						14			1000												4		
928	2						14			1000												4		
931	2						14			1000												4		
932	2						14			1000												4		
933	2						14			1000												4		
934	2						14			1000												4		
935	2						14			1000												4		
936	2						14			1000												4		
937	2						14			1000												4		
938	2						14			1000												4		
1002	2						7			1000	99	1			3	10000002						5		
1003	2						7			1000	99	1			3	10000003						5		
1005	2						7			1000	99	1			3	10000005						4		
1006	2						7			1000	99	1			3	10000006						4		
1007	2						7			1000	99	1			3	10000007						4		
1014	2						7			1000	99	1			3	10000014						4		
1015	2						7			1000	99	1			3	10000015						4		
1016	2						7			1000	99	1			3	10000016						5		
1020	2						7			1000	99	1			3	10000020						4		
1021	2						7			1000	99	1			3	10000021						4		
1022	2						7			1000	99	1			3	10000022						5		
1023	2						7			1000	99	1			3	10000023						4		
1024	2						7			1000	99	1			3	10000024						4		
1102	2						14			1000	1				18	10000002	1					4		
1103	2						14			1000	1				18	10000003	1					4		
1106	2						14			1000	1				18	10000006	1					4		
1114	2						14			1000	1				18	10000014	1					4		
1115	2						14			1000	1				18	10000015	1					4		
1116	2						14			1000	1				18	10000016	1					4		
1120	2						14			1000	1				18	10000020	1					4		
1121	2						14			1000	1				18	10000021	1					4		
1122	2						14			1000	1				18	10000022	1					4		
1123	2						14			1000	1				18	10000023	1					4		
1124	2						14			1000	1				18	10000024	1					4		
1202	2						14			1000		1			19	10000002	1					3		
1203	2						14			1000		1			19	10000003	1					3		
1206	2						14			1000		1			19	10000006	1					3		
1214	2						14			1000		1			19	10000014	1					3		
1215	2						14			1000		1			19	10000015	1					3		
1216	2						14			1000		1			19	10000016	1					3		
1220	2						14			1000		1			19	10000020	1					3		
1221	2						14			1000		1			19	10000021	1					3		
1222	2						14			1000		1			19	10000022	1					3		
1223	2						14			1000		1			19	10000023	1					3		
1224	2						14			1000		1			19	10000024	1					3		
1301	2						14			1000		1			22	1	1					4		
1302	2						14			1000		1			22	2	1					4		
1303	2						14			1000		1			22	3	1					4		
1304	2						14			1000		1			22	4	1					4		
1305	2						14			1000		1			22	7	1					4		
1306	2						14			1000		1			22	5	1					4		
1307	2						14			1000		1			22	8	1					4		
1308	2						14			1000		1			23	1	1					3		
1309	2						14			1000		1			23	2	1					3		
1310	2						14			1000		1			23	3	1					3		
1311	2						14			1000		1			23	4	1					3		
1312	2						14			1000		1			23	7	1					3		
1313	2						14			1000		1			23	5	1					3		
1314	2						14			1000		1			23	8	1					3		
2001	2			70610009			8			1000	99	1		2	11	1	9	3						
2002	2			70610010			8			1000	99	1		2	11	2	9	3						
2003	2			70610011			8			1000	99	1		2	11	3	9	3						
2004	2			70610012			8			1000	99	1		2	11	4	9	3						
2005	2			70610013			8			1000	99	1		2	11	7	9	3						
2006	2			70610014			8			1000	99	1		2	11	5	9	3						
2007	2			70610015			8			1000	99	1		2	11	8	9	3						
2008	2			70610016			8			1000	99	1		2	12	6								
2017	2			70610001			8			1000	99	1		2	11	1	3	1						
2018	2			70610002			8			1000	99	1		2	11	2	3	1						
