ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	类型	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级
21010101	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_None_01		sentry02				18	11	101010	65					100010		
21020101	4001	94	44.4	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Brute_None_Shield		scout01		50004012		18	11	101020	70	101020	40			100020		
21020201	4001	94	44.4	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Brute_None_Axe	2001	scout01	50004013			18	11	101020	70	101020	40			100020		
20010101	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Grass_02	3018	assist01				18	11	101013	65	0		0		100013		
20010201	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Grass_03	3018	assist01				18	11	101013	80	101013	55	101013	25	100023		
20010302	4001	45	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Wind_01		assist01				18	11	101015	65	0		0		100015		
20010301	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Wind_02	3015	assist01				18	11	101015	65	0		0		100015		
20010401	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Wind_03	3015	assist01				18	11	101015	80	101015	55	101015	25	100025		
29010101	4001	300	100	0	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0			4	2			2		ConfigMonster_Dvalin_S01		dragon01				1800	11	0		0		0		0	1	3
29010102	4001	98.28	98.6	94	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	2		ConfigMonster_Dvalin_S04		dragon01				1800	11	0		0		0		0	1	3
29010103	4001	180	100	0	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0			4	2			2		ConfigMonster_Dvalin_S00		dragon01				1800	11	0		0		0		0	1	3
20020101	4001	87.7	118.4	53.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Elemental_Wind_01	3015	scout01				18	11	101035	80	101035	55	101035	25	100025		
20010501	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Electric_02	3012,2002	assist01				18	11	101014	65	0		0		100014		
20010601	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Electric_03	3012,2002	assist01				18	11	101014	80	101014	55	101014	25	100024		
20010701	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Electric_03_Positive	3012,2002	assist01				18	11	101014	80	101014	55	101014	25	100024		
20010801	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Ice_02	3009,2003	assist01				18	11	101016	65	0		0		100016		
20010901	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Ice_03	3009,2003	assist01				18	11	101016	80	101016	55	101016	25	100026		
20011001	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Water_02	3003	assist01				18	11	101012	65	0		0		100012		
20011101	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Water_03	3003	assist01				18	11	101012	80	101012	55	101012	25	100022		
20011002	4001	9999.5	26	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Water_11		assist01				18	11	101012	80	101012	55	101012	25	100022		
21010201	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_None_01		sentry02	50004001			18	11	101010	65					100010		
21010301	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_None_01		sentry02	50004001	50004002		18	11	101010	65					100010		
21010401	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_None_01		ranged01	50004004			18	11	101010	65					100010		
21010501	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Fire_01	2001	ranged01	50004017			18	11	101010	65					100010		
21010601	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Fire_01	2001	scout01				18	11	101010	65					100010		
21010701	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Fire_Rush	2001	scout01	50004020			18	11	101010	65					100010		
21010901	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Ice_01	2001	ranged01	50004018			18	11	101010	65					100010		
