等级	升到下一级所需经验	Cost上限	升级奖励RewardID
1	50	1000	
2	57	1000	200002
3	68	1000	200003
4	84	1000	200004
5	106	1000	200005
6	135	1000	200006
7	172	1000	200007
8	216	1000	200008
9	268	1000	200009
10	330	1000	200010
11	401	1000	200011
12	482	1000	200012
13	574	1000	200013
14	676	1000	200014
15	790	1000	200015
16	916	1000	200016
17	1053	1000	200017
18	1204	1000	200018
19	1367	1000	200019
20	1544	1000	200020
21	1735	1000	200021
22	1940	1000	200017
23	2160	1000	200018
24	2395	1000	200019
25	2645	1000	200020
26	2911	1000	200021
27	3194	1000	200020
28	3493	1000	200020
29	3809	1000	200020
30	4143	1000	200020
31	4494	1000	200020
32	4864	1000	200020
33	5252	1000	200020
34	5659	1000	200020
35	6085	1000	200020
36	6531	1000	200020
37	6997	1000	200020
38	7483	1000	200020
39	7990	1000	200020
40	8518	1000	200020
41	9067	1000	200020
42	9638	1000	200020
43	10231	1000	200020
44	10847	1000	200020
45	11485	1000	200020
46	12146	1000	200020
47	12831	1000	200020
48	13540	1000	200020
49	14273	1000	200020
50	15030	1000	200020
51	15812	1000	200020
52	16619	1000	200020
53	17452	1000	200020
54	18310	1000	200020
55	19194	1000	200020
56	20105	1000	200020
57	21043	1000	200020
58	22008	1000	200020
59	23000	1000	200020
60	24020	1000	200020
61	25068	1000	200020
62	26144	1000	200020
63	27249	1000	200020
64	28383	1000	200020
65	29546	1000	200020
66	30739	1000	200020
67	31962	1000	200020
68	33215	1000	200020
69	34499	1000	200020
70	100	1000	200020
