ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	圣遗物类别	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	突破等级上限	基础转化经验
20002	3	1	10	70600041	0	0	5	0	2000	101	0		0	1240
20004	3	1	10	70600041	0	0	1	0	4000	101	0		0	1240
23333	3	1	10	70600041	0	0	3	1	4000	999	2		0	500000
51110	3	1	10	70600041	0	12	4	1	5000	101	0	10001	2	1860
51111	3	1	10	70600041	0	12	4	1	5000	101	1	10001	2	2070
51112	3	1	10	70600041	0	12	4	1	5000	101	2	10001	2	2300
51113	3	1	10	70600041	0	12	4	1	5000	101	3	10001	2	2560
51114	3	1	10	70600041	0	12	4	1	5000	101	4	10001	2	2850
51120	3	1	10	70600041	0	0	5	1	2000	101	0	10001	2	1860
51121	3	1	10	70600041	0	0	5	1	2000	101	1	10001	2	2070
51122	3	1	10	70600041	0	0	5	1	2000	101	2	10001	2	2300
51123	3	1	10	70600041	0	0	5	1	2000	101	3	10001	2	2560
51124	3	1	10	70600041	0	0	5	1	2000	101	4	10001	2	2850
51130	3	1	10	70600041	0	10	2	1	3000	101	0	10001	2	1860
51131	3	1	10	70600041	0	10	2	1	3000	101	1	10001	2	2070
51132	3	1	10	70600041	0	10	2	1	3000	101	2	10001	2	2300
51133	3	1	10	70600041	0	10	2	1	3000	101	3	10001	2	2560
51134	3	1	10	70600041	0	10	2	1	3000	101	4	10001	2	2850
51140	3	1	10	70600041	0	0	1	1	4000	101	0	10001	2	1860
51141	3	1	10	70600041	0	0	1	1	4000	101	1	10001	2	2070
51142	3	1	10	70600041	0	0	1	1	4000	101	2	10001	2	2300
51143	3	1	10	70600041	0	0	1	1	4000	101	3	10001	2	2560
51144	3	1	10	70600041	0	0	1	1	4000	101	4	10001	2	2850
51150	3	1	10	70600041	0	8	3	1	1000	101	0	10001	2	1860
51151	3	1	10	70600041	0	8	3	1	1000	101	1	10001	2	2070
51152	3	1	10	70600041	0	8	3	1	1000	101	2	10001	2	2300
51153	3	1	10	70600041	0	8	3	1	1000	101	3	10001	2	2560
51154	3	1	10	70600041	0	8	3	1	1000	101	4	10001	2	2850
51210	3	1	10	70600042	0	12	4	2	5000	201	0	10001	2	2490
51211	3	1	10	70600042	0	12	4	2	5000	201	1	10001	2	2770
51212	3	1	10	70600042	0	12	4	2	5000	201	2	10001	2	3070
51213	3	1	10	70600042	0	12	4	2	5000	201	3	10001	2	3420
51214	3	1	10	70600042	0	12	4	2	5000	201	4	10001	2	3800
51220	3	1	10	70600042	0	0	5	2	2000	201	0	10001	2	2490
51221	3	1	10	70600042	0	0	5	2	2000	201	1	10001	2	2770
51222	3	1	10	70600042	0	0	5	2	2000	201	2	10001	2	3070
51223	3	1	10	70600042	0	0	5	2	2000	201	3	10001	2	3420
51224	3	1	10	70600042	0	0	5	2	2000	201	4	10001	2	3800
51230	3	1	10	70600042	0	10	2	2	3000	201	0	10001	2	2490
51231	3	1	10	70600042	0	10	2	2	3000	201	1	10001	2	2770
51232	3	1	10	70600042	0	10	2	2	3000	201	2	10001	2	3070
51233	3	1	10	70600042	0	10	2	2	3000	201	3	10001	2	3420
51234	3	1	10	70600042	0	10	2	2	3000	201	4	10001	2	3800
51240	3	1	10	70600042	0	0	1	2	4000	201	0	10001	2	2490
51241	3	1	10	70600042	0	0	1	2	4000	201	1	10001	2	2770
51242	3	1	10	70600042	0	0	1	2	4000	201	2	10001	2	3070
51243	3	1	10	70600042	0	0	1	2	4000	201	3	10001	2	3420
51244	3	1	10	70600042	0	0	1	2	4000	201	4	10001	2	3800
51250	3	1	10	70600042	0	8	3	2	1000	201	0	10001	2	2490
51251	3	1	10	70600042	0	8	3	2	1000	201	1	10001	2	2770
51252	3	1	10	70600042	0	8	3	2	1000	201	2	10001	2	3070
51253	3	1	10	70600042	0	8	3	2	1000	201	3	10001	2	3420
51254	3	1	10	70600042	0	8	3	2	1000	201	4	10001	2	3800
52110	3	1	10	70600041	0	12	4	1	5000	101	0	10002	2	1860
52111	3	1	10	70600041	0	12	4	1	5000	101	1	10002	2	2070
52112	3	1	10	70600041	0	12	4	1	5000	101	2	10002	2	2300
52113	3	1	10	70600041	0	12	4	1	5000	101	3	10002	2	2560
52114	3	1	10	70600041	0	12	4	1	5000	101	4	10002	2	2850
52120	3	1	10	70600041	0	0	5	1	2000	101	0	10002	2	1860
52121	3	1	10	70600041	0	0	5	1	2000	101	1	10002	2	2070
52122	3	1	10	70600041	0	0	5	1	2000	101	2	10002	2	2300
52123	3	1	10	70600041	0	0	5	1	2000	101	3	10002	2	2560
52124	3	1	10	70600041	0	0	5	1	2000	101	4	10002	2	2850
52130	3	1	10	70600041	0	10	2	1	3000	101	0	10002	2	1860
52131	3	1	10	70600041	0	10	2	1	3000	101	1	10002	2	2070
52132	3	1	10	70600041	0	10	2	1	3000	101	2	10002	2	2300
52133	3	1	10	70600041	0	10	2	1	3000	101	3	10002	2	2560
52134	3	1	10	70600041	0	10	2	1	3000	101	4	10002	2	2850
52140	3	1	10	70600041	0	0	1	1	4000	101	0	10002	2	1860
52141	3	1	10	70600041	0	0	1	1	4000	101	1	10002	2	2070
52142	3	1	10	70600041	0	0	1	1	4000	101	2	10002	2	2300
52143	3	1	10	70600041	0	0	1	1	4000	101	3	10002	2	2560
52144	3	1	10	70600041	0	0	1	1	4000	101	4	10002	2	2850
52150	3	1	10	70600041	0	8	3	1	1000	101	0	10002	2	1860
52151	3	1	10	70600041	0	8	3	1	1000	101	1	10002	2	2070
52152	3	1	10	70600041	0	8	3	1	1000	101	2	10002	2	2300
52153	3	1	10	70600041	0	8	3	1	1000	101	3	10002	2	2560
52154	3	1	10	70600041	0	8	3	1	1000	101	4	10002	2	2850
52210	3	1	10	70600042	0	12	4	2	5000	201	0	10002	2	2490
52211	3	1	10	70600042	0	12	4	2	5000	201	1	10002	2	2770
52212	3	1	10	70600042	0	12	4	2	5000	201	2	10002	2	3070
52213	3	1	10	70600042	0	12	4	2	5000	201	3	10002	2	3420
52214	3	1	10	70600042	0	12	4	2	5000	201	4	10002	2	3800
52220	3	1	10	70600042	0	0	5	2	2000	201	0	10002	2	2490
52221	3	1	10	70600042	0	0	5	2	2000	201	1	10002	2	2770
52222	3	1	10	70600042	0	0	5	2	2000	201	2	10002	2	3070
52223	3	1	10	70600042	0	0	5	2	2000	201	3	10002	2	3420
52224	3	1	10	70600042	0	0	5	2	2000	201	4	10002	2	3800
52230	3	1	10	70600042	0	10	2	2	3000	201	0	10002	2	2490
52231	3	1	10	70600042	0	10	2	2	3000	201	1	10002	2	2770
52232	3	1	10	70600042	0	10	2	2	3000	201	2	10002	2	3070
52233	3	1	10	70600042	0	10	2	2	3000	201	3	10002	2	3420
52234	3	1	10	70600042	0	10	2	2	3000	201	4	10002	2	3800
52240	3	1	10	70600042	0	0	1	2	4000	201	0	10002	2	2490
