阶数	等级	成长到下一级所需经验	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	[增加属性]6类型	[增加属性]6值	[增加属性]7类型	[增加属性]7值	[增加属性]8类型	[增加属性]8值	[增加属性]9类型	[增加属性]9值	[增加属性]10类型	[增加属性]10值
0	1	0	2	40	3	0.03	5	3	6	0.03	8	2	9	0.03	20	0.01	22	0.03	23	0.01	26	0.01
1	1	1500	2	45	3	0.03	5	3	6	0.03	8	2	9	0.03	20	0.01	22	0.03	23	0.01	26	0.01
1	2	3000	2	55	3	0.04	5	4	6	0.04	8	3	9	0.04	20	0.02	22	0.04	23	0.02	26	0.02
1	3	4500	2	64	3	0.05	5	5	6	0.05	8	4	9	0.05	20	0.03	22	0.05	23	0.03	26	0.03
1	4	6000	2	74	3	0.06	5	6	6	0.06	8	5	9	0.06	20	0.04	22	0.06	23	0.04	26	0.04
1	5	7500	2	84	3	0.07	5	7	6	0.07	8	6	9	0.07	20	0.05	22	0.07	23	0.05	26	0.05
1	6	9000	2	94	3	0.08	5	8	6	0.08	8	7	9	0.08	20	0.06	22	0.08	23	0.06	26	0.06
1	7	10500	2	104	3	0.09	5	9	6	0.09	8	8	9	0.09	20	0.07	22	0.09	23	0.07	26	0.07
1	8	12000	2	114	3	0.1	5	10	6	0.1	8	9	9	0.1	20	0.08	22	0.1	23	0.08	26	0.08
1	9	13500	2	123	3	0.11	5	11	6	0.11	8	10	9	0.11	20	0.09	22	0.11	23	0.09	26	0.09
1	10	0	2	133	3	0.12	5	12	6	0.12	8	11	9	0.12	20	0.1	22	0.12	23	0.1	26	0.1
2	1	2000	2	103	3	0.05	5	8	6	0.05	8	7	9	0.05	20	0.03	22	0.04	23	0.03	26	0.03
2	2	4000	2	126	3	0.06	5	9	6	0.06	8	8	9	0.06	20	0.04	22	0.05	23	0.04	26	0.04
2	3	6000	2	148	3	0.07	5	11	6	0.07	8	10	9	0.07	20	0.05	22	0.05	23	0.05	26	0.05
2	4	8000	2	171	3	0.08	5	12	6	0.08	8	11	9	0.08	20	0.06	22	0.06	23	0.06	26	0.06
2	5	10000	2	194	3	0.09	5	14	6	0.09	8	13	9	0.09	20	0.07	22	0.07	23	0.07	26	0.07
2	6	12000	2	217	3	0.1	5	16	6	0.1	8	14	9	0.1	20	0.08	22	0.08	23	0.08	26	0.08
2	7	14000	2	239	3	0.11	5	17	6	0.11	8	16	9	0.11	20	0.09	22	0.09	23	0.09	26	0.09
2	8	16000	2	262	3	0.12	5	19	6	0.12	8	18	9	0.12	20	0.1	22	0.09	23	0.1	26	0.1
2	9	18000	2	285	3	0.13	5	20	6	0.13	8	19	9	0.13	20	0.11	22	0.1	23	0.11	26	0.11
2	10	20000	2	308	3	0.14	5	22	6	0.14	8	21	9	0.14	20	0.12	22	0.11	23	0.12	26	0.12
2	11	22000	2	330	3	0.15	5	24	6	0.15	8	22	9	0.15	20	0.13	22	0.12	23	0.13	26	0.13
2	12	24000	2	353	3	0.16	5	25	6	0.16	8	24	9	0.16	20	0.14	22	0.13	23	0.14	26	0.14
2	13	26000	2	376	3	0.17	5	27	6	0.17	8	25	9	0.17	20	0.15	22	0.13	23	0.15	26	0.15
2	14	28000	2	399	3	0.18	5	28	6	0.18	8	27	9	0.18	20	0.16	22	0.14	23	0.16	26	0.16
2	15	30000	2	421	3	0.19	5	30	6	0.19	8	29	9	0.19	20	0.17	22	0.15	23	0.17	26	0.17
2	16	32000	2	444	3	0.2	5	31	6	0.2	8	30	9	0.2	20	0.18	22	0.16	23	0.18	26	0.18
2	17	34000	2	467	3	0.21	5	33	6	0.21	8	32	9	0.21	20	0.19	22	0.17	23	0.19	26	0.19
2	18	36000	2	490	3	0.22	5	35	6	0.22	8	33	9	0.22	20	0.2	22	0.17	23	0.2	26	0.2
2	19	38000	2	512	3	0.23	5	36	6	0.23	8	35	9	0.23	20	0.21	22	0.18	23	0.21	26	0.21
2	20	0	2	535	3	0.24	5	38	6	0.24	8	37	9	0.24	20	0.22	22	0.19	23	0.22	26	0.22
3	1	2500	2	195	3	0.07	5	14	6	0.07	8	13	9	0.07	20	0.05	22	0.08	23	0.05	26	0.05
3	2	5000	2	238	3	0.09	5	17	6	0.09	8	16	9	0.09	20	0.06	22	0.09	23	0.06	26	0.06
3	3	7500	2	282	3	0.11	5	20	6	0.11	8	19	9	0.11	20	0.07	22	0.11	23	0.07	26	0.07
3	4	10000	2	325	3	0.13	5	23	6	0.13	8	22	9	0.13	20	0.08	22	0.12	23	0.08	26	0.08
3	5	12500	2	368	3	0.15	5	26	6	0.15	8	25	9	0.15	20	0.09	22	0.14	23	0.09	26	0.09
3	6	15000	2	411	3	0.17	5	29	6	0.17	8	28	9	0.17	20	0.1	22	0.15	23	0.1	26	0.1
3	7	17500	2	455	3	0.19	5	32	6	0.19	8	31	9	0.19	20	0.11	22	0.17	23	0.11	26	0.11
