ID	要素池ID	随机权重	[样本]1类型	[样本]1内容
1	1010101	100	{NpcID}	1122
2	1010101	100	{NpcID}	1123
3	1010101	100	{NpcID}	1124
4	1010101	100	{NpcID}	1125
5	1010102	100	{RescuePos}	Rq10101Rescue1
6	1010102	100	{RescuePos}	Rq10101Rescue2
7	1010102	100	{RescuePos}	Rq10101Rescue3
8	1010102	100	{RescuePos}	Rq10101Rescue4
9	1010103	100	{TreasureID}	100131
10	1010103	100	{TreasureID}	100132
11	1010103	100	{TreasureID}	100133
12	1010103	100	{TreasureID}	100134
13	1010104	100	{TreasurePos}	Rq10101Treasure1
14	1010104	100	{TreasurePos}	Rq10101Treasure2
15	1010104	100	{TreasurePos}	Rq10101Treasure3
16	1010104	100	{TreasurePos}	Rq10101Treasure4
17	1010105	100	{MonsterID}	21010101
18	1010105	100	{MonsterID}	21010201
19	1010105	100	{MonsterID}	21010301
20	1010105	100	{MonsterID}	21010401
