ID	类型	LevelEntityConfig	entity排序	指定角色列表	指定角色上限
1001	2				
1002	1				
1003	1				
1004	3				
1005	3	Level_Sneak		10000005,10000007	1
1006	2				
1007	2				
1008	3				
1009	3				
1010	2				
1011	2				
1012	2				
1013	3	Level_Sneak		10000005,10000007	1
1015	3	Level_Sneak			
1	1				
2	1				
3	1	Level_BigWorld			
20000	2				
20001	2				
20002	2				
20003	2				
20004	2				
20005	2				
20006	2				
20007	2				
20008	2				
20009	2				
20010	2				
20011	2				
20012	2				
20013	2				
20014	2				
20015	2				
20016	2				
20017	2	Level_Dvalin_S01	1	10000005,10000007	1
20018	2	Level_Dvalin_S04	1		
20019	2				
20020	2	Level_Dvalin_S00	1	10000005,10000007	1
20021	2				
30001	2				
30002	2				
30003	2				
40001	2				
40002	2				
40003	2				
40004	2				
40005	2				
40006	2				
40007	2				
50000	3				
50001	2				
50002	2	TestLevel_Cold			
50003	2				
50004	2				
50005	2				
