商品ID	对应物品ID	对应物品数量	消耗金币	消耗水晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新间隔	上架时间	下架时间
101001	100001	1	3						99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
101002	108005	1	30						99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
101003	108035	1		1					99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
101004	11301	1		66					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101005	14301	1		66					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101006	12301	1		88					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101007	15301	1		88					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101008	13302	1		88					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101009	11401	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101010	11403	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101011	11404	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101012	12401	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101013	12404	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101014	14401	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101015	14403	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101016	14404	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101017	13401	1		233					1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101018	1102	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101019	1103	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101020	1106	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101021	1115	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101022	1116	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101023	1120	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101024	1121	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101025	1122	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
101026	1123	4		233					4	99	2014-01-01 00:00:00	2019-10-10 00:00:00
102001	1014	1			305	90			1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
102002	14302	1			305	50			1	99	2014-01-01 00:00:00	2019-10-10 00:00:00
102003	104003	1			305	36			10	99	2014-01-01 00:00:00	2019-10-10 00:00:00
102004	104002	1			305	4			5	1	2014-01-01 00:00:00	2019-10-10 00:00:00
102005	1114	1			305	20			16	99	2014-01-01 00:00:00	2019-10-10 00:00:00
102006	1214	1			305	10			16	99	2014-01-01 00:00:00	2019-10-10 00:00:00
103001	11101	1	1333						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103002	12101	1	1333						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103003	13101	1	1333						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103004	14101	1	1333						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103005	15101	1	1333						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103006	11201	1	2000						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103007	12201	1	2000						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103008	13201	1	2000						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103009	14201	1	2000						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103010	15201	1	2000						10	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103011	104011	1			101001	1			50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103012	104011	4			101002	1			50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103013	104011	16			101003	1			50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
103014	104012	1		10					50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
104001	100001	1	3						99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
104002	108005	1	30						99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
104003	108035	1		1					99	1	2014-01-01 00:00:00	2019-10-10 00:00:00
104004	104012	1		10					50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
104005	104002	1		50					50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105001	100075	1	5						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105002	100077	1	6						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105003	100076	1	9						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105004	100080	1	4						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105005	100017	1	6						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105006	100013	1	7						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105007	100011	1	10						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105008	100018	1	11						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105009	100079	1	12						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105010	100014	1	14						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105011	100078	1	15						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105012	100001	1	3						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105013	108005	1	30						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105014	108002	1	20						50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105015	108053	1	99						3	1	2014-01-01 00:00:00	2019-10-10 00:00:00
105016	108035	1		1					50	1	2014-01-01 00:00:00	2019-10-10 00:00:00
