ID	场景ID	组ID	触发器
1	3	133003052	ENTER_REGION_21
2	3	133003055	ENTER_REGION_22
1001	3	133003901	ENTER_REGION_24
1002	3	133004901	ENTER_REGION_2
1003	3	133003901	ENTER_REGION_27
1004	3	133003901	ENTER_REGION_33
1011	3	133001901	ENTER_REGION_11
1012	3	133001901	ENTER_REGION_12
1013	3	133004901	ENTER_REGION_3
1014	3	133004901	ENTER_REGION_4
1015	3	133004901	ENTER_REGION_5
1016	3	133003901	ENTER_REGION_36
1017	3	133003901	ENTER_REGION_35
1018	3	133003901	ENTER_REGION_38
1019	3	133003001	ENTER_REGION_39
1020	3	133003901	ENTER_REGION_40
1021	3	133003901	ENTER_REGION_68
1022	3	133003901	ENTER_REGION_75
1023	3	133004901	ENTER_REGION_7
1024	3	133004901	ENTER_REGION_6
1025	3	133004901	ENTER_REGION_21
1026	3	133004901	ENTER_REGION_22
1027	1008	201008901	ENTER_REGION_1
1028	1008	201008901	ENTER_REGION_2
1029	1008	201008901	ENTER_REGION_3
1030	1004	201004901	ENTER_REGION_1
1031	3	133004901	ENTER_REGION_14
1032	3	133004901	ENTER_REGION_24
1033	1009	201009901	ENTER_REGION_1
1034	1009	201009901	ENTER_REGION_2
1035	3	133002901	ENTER_REGION_66
1036	3	133003901	ENTER_REGION_76
1037	3	133004901	ENTER_REGION_18
1038	3	133004901	ENTER_REGION_19
1039	3	133004901	ENTER_REGION_20
1040	3	133002901	ENTER_REGION_67
1041	3	133002901	ENTER_REGION_68
1042	3	133002901	ENTER_REGION_69
1043	1005	201005901	ENTER_REGION_3
1044	1005	201005901	ENTER_REGION_2
1045	3	133007901	ENTER_REGION_21
1046	3	133007901	ENTER_REGION_19
1047	3	133007901	ENTER_REGION_20
1048	20009	220009901	ENTER_REGION_28
1049	20009	220009901	ENTER_REGION_29
1050	20009	220009901	ENTER_REGION_30
1051	3	133004901	ENTER_REGION_25
1052	3	133002901	ENTER_REGION_107
1053	3	133003901	ENTER_REGION_84
1054	20008	220008901	ENTER_REGION_41
1055	20008	220008901	ENTER_REGION_42
1056	20008	220008901	ENTER_REGION_43
1057	20011	220011901	ENTER_REGION_49
1058	20011	220011901	ENTER_REGION_50
1059	20011	220011901	ENTER_REGION_51
1060	3	133004901	ENTER_REGION_28
1061	20011	220011901	ENTER_REGION_55
1062	3	133007901	ENTER_REGION_33
1063	3	133003901	ENTER_REGION_147
1064	20016	220016901	ENTER_REGION_4
1065	3	133001901	ENTER_REGION_162
1066	3	133001901	ENTER_REGION_163
1067	1004	201004901	ENTER_REGION_2
1068	3	133004901	ENTER_REGION_60
1069	3	133004901	ENTER_REGION_61
1070	3	133004901	ENTER_REGION_23
1071	3	133001902	ENTER_REGION_186
1072	3	133004901	ENTER_REGION_63
1073	3	133002901	ENTER_REGION_185
1074	3	133001166	ENTER_REGION_209
1075	3	133001902	ENTER_REGION_217
1076	3	133001903	ENTER_REGION_239
1077	3	133004901	ENTER_REGION_70
1078	3	133002901	ENTER_REGION_225
1079	3	133002901	ENTER_REGION_226
1080	3	133002901	ENTER_REGION_227
1081	3	133004901	ENTER_REGION_78
1082	3	133007901	ENTER_REGION_97
1083	3	133007901	ENTER_REGION_98
1084	3	133007901	ENTER_REGION_99
1085	3	133004901	ENTER_REGION_154
1086	3	133004901	ENTER_REGION_155
1087	3	133004901	ENTER_REGION_156
1088	3	133004901	ENTER_REGION_157
1089	3	133007901	ENTER_REGION_118
1090	3	133007901	ENTER_REGION_119
1091	3	133007901	ENTER_REGION_120
1092	3	133007901	ENTER_REGION_178
1093	3	133003901	ENTER_REGION_463
1094	3	133004901	ENTER_REGION_180
1095	3	133003901	ENTER_REGION_502
1096	3	133001901	ENTER_REGION_420
1097	3	133007901	ENTER_REGION_257
1098	3	133007901	ENTER_REGION_258
1099	3	133007901	ENTER_REGION_259
1100	3	133003901	ENTER_REGION_504
1101	3	133003901	ENTER_REGION_505
1102	3	133004901	ENTER_REGION_244
1103	3	133003901	ENTER_REGION_512
1104	3	133003901	ENTER_REGION_513
1105	20009	220009901	ENTER_REGION_56
1106	3	133004901	ENTER_REGION_277
