ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	武器种类	武器阶数	武器材质	武器Cost	元素类型	武器初始经验	初始技能词缀1	初始技能词缀2	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线
11101	4	1	10	50011101	0		1	1		1,1,1,1,1		300			4	7.29	2			
11201	4	1	10	50011201	0		1	2		1,1,1,1,1		600			4	10.93	2			
11301	4	1	10	50011301	0	8	1	3		1,1,1,1,1		900			4	14.57	2	20	0.03	4
11302	4	1	10	50011302	0	8	1	3		1,1,1,1,1		900	111302		4	14.57	2	20	0.02	4
11303	4	1	10	50011303	0	8	1	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
11304	4	1	10	50011304	0	8	1	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
11305	4	1	10	50011305	0	8	1	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
11306	4	1	10	50011306	0	8	1	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
11401	4	1	10	50011401	0	10	1	4		1,1,1,1,1		900	111401		4	17.49	2	20	0.04	4
11402	4	1	10	50011402	0	10	1	4		1,1,1,1,1		900	111402		4	17.49	2	20	0.04	4
11403	4	1	10	50011403	0	10	1	4		1,1,1,1,1		900	111403		4	17.49	2	20	0.04	4
11404	4	1	10	50011404	0	10	1	4		1,1,1,1,1		900	111404		4	17.49	2	20	0.04	4
11405	4	1	10	50011405	0	10	1	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
11406	4	1	10	50011406	0	10	1	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
11407	4	1	10	50011407	0	10	1	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
11408	4	1	10	50011408	0	10	1	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
11501	4	1	10	50011501	0	10	1	5		1,1,1,1,1		900			4	26.03	31	20	0.06	4
11502	4	1	10	50011502	0	10	1	5		1,1,1,1,1		900			4	26.03	31	20	0.06	4
11503	4	1	10	50011503	0	10	1	5		1,1,1,1,1		900			4	26.03	31	20	0.06	4
11504	4	1	10	50011504	0	10	1	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
11505	4	1	10	50011505	0	10	1	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
11506	4	1	10	50011506	0	10	1	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
11507	4	1	10	50011507	0	10	1	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
12101	4	1	10	50012101	0		11	1		1,1,1,1,1		300			4	7.29	2			
12201	4	1	10	50012201	0		11	2		1,1,1,1,1		600			4	10.93	2			
12301	4	1	10	50012301	0	8	11	3		1,1,1,1,1		900	112301		4	14.57	2	20	0.02	4
12302	4	1	10	50012302	0	8	11	3		1,1,1,1,1		900	112302		4	14.57	2	20	0.02	4
