条目ID	场景ID	区域类型	一级区域ID	二级区域ID	默认解锁	对应地标ID	元素属性	地形类型	是否显示跳字
1	3	1	1		0	7	7		1
2	3	2	1	101	0				1
3	3	2	1	102	0			1	1
4	3	2	1	103	0			2	1
5	3	2	1	104	0			2	1
6	3	2	1	105	0			2	1
7	3	2	1	106	0			2	1
8	3	2	1	107	0			2	1
9	3	2	1	108	0			2	1
10	3	2	1	109	0			2	0
11	3	1	2		0	4	7		1
12	3	2	2	201	0			2	1
13	3	2	2	202	0			2	1
14	3	2	2	203	0			2	1
15	3	2	2	204	0			2	1
16	3	2	2	205	0			2	1
17	3	1	3		0	3	7		1
18	3	2	3	301	0			1	1
19	3	2	3	302	0			1	1
20	3	2	3	303	0			2	1
21	3	1	4		0	29	7		1
22	3	2	4	401	0			2	1
23	3	2	4	402	0			2	1
24	3	2	4	403	0			2	1
