提示台词ID	停留显示时长
1012001	4
1020001	4
1100001	3
1100002	3
1100003	3
1101001	3
1101002	3
1102001	3
1103001	3
1104001	3
1001	5
1002	3
1003	4
1004	5
1005	5
1006	4
1007	3
1008	4
1009	3
1010	3
1011	3
1012	2
1013	3
1014	3
1015	3
1016	3
1017	
1018	2
1019	2
1020	10
1021	10
1022	10
1023	5
1024	5
1025	5
1026	4
1027	4
1028	2
1029	2
1030	5
1031	3
1032	4
1033	3
1034	3
1035	3
1036	4
1037	3
1038	4
1039	4
1040	3
1041	5
1042	10
1043	10
1044	10
1045	5
1105001	1
1105002	1
1106001	1
1106002	1
1106003	1
1107001	6
1107002	6
1107003	6
1109001	15
1109002	3
1109003	5
1109004	5
1110001	3
